date,place,race_num,predict,koukiai,evaluation,bracket,car_num,name,prefecture,age,period,rank,leg,gear,racing piont,S,B,Nige,Maki,Sashi,Ma,1st,2nd,3rd,Chakugai,win,2ren,3ren,result
20120626,aomori,1,,,,1,1,çÇìc îπêl,12,30,88,2,2,3.85,87.70,8,11,2,5,2,1,3,7,3,14,11.1,37.0,48.1,1
20120626,aomori,1,,,,2,2,ëæìc íqóm,4,42,69,2,3,4.17,82.00,10,1,0,1,0,4,0,5,2,22,0.0,17.2,24.1,6
20120626,aomori,1,,,,3,3,í∑íJïî èÉñÁ,8,45,57,3,3,3.92,88.74,0,0,0,0,3,1,1,3,6,17,3.7,14.8,37.0,5
20120626,aomori,1,,,,4,4,ç°à‰ âpñæ,14,43,71,2,3,3.71,80.78,2,0,0,0,0,1,0,1,0,13,0.0,7.1,7.1,7
20120626,aomori,1,,,,4,5,êAìc êΩ,22,44,61,2,3,3.64,86.81,2,0,0,0,2,1,1,2,0,9,8.3,25.0,25.0,3
20120626,aomori,1,,,,5,6,ë∆å¥ „ƒëæ,14,25,96,2,2,3.64,75.08,4,3,0,0,0,0,0,0,0,25,0.0,0.0,0.0,9
20120626,aomori,1,,,,5,7,ñxì‡ è∏,8,24,95,2,2,4.08,85.28,5,14,1,2,2,0,4,1,5,22,12.5,15.6,31.2,4
20120626,aomori,1,,,,6,8,‡_ñÏ èC,9,51,54,2,3,3.86,76.44,0,0,0,0,0,0,0,0,1,27,0.0,0.0,3.5,8
20120626,aomori,1,,,,6,9,èØéq êMçO,4,33,84,3,1,3.86,84.45,4,2,0,2,1,2,3,2,3,16,12.5,20.8,33.3,2
20120626,aomori,2,,,,1,1,çbî„ çNè∫,10,27,89,3,1,3.85,86.86,3,2,1,2,2,1,1,5,3,20,3.4,20.6,31.0,1
20120626,aomori,2,,,,2,2,èºä€ óTãI,12,31,86,3,1,3.86,86.04,5,1,0,1,4,3,3,5,2,14,12.5,33.3,41.6,7
20120626,aomori,2,,,,3,3,ã¥å˚ ëÙ,13,31,90,2,2,3.85,80.16,1,4,2,1,0,1,2,2,1,20,8.0,16.0,20.0,9
20120626,aomori,2,,,,4,4,è¨ó— ëÂî\,12,32,87,3,1,3.85,79.33,3,0,0,1,0,0,1,0,3,23,3.7,3.7,14.8,6
20120626,aomori,2,,,,4,5,î—ìá ó∫,13,40,68,3,3,4.00,82.40,1,0,0,0,1,1,0,2,3,22,0.0,7.4,18.5,5
20120626,aomori,2,,,,5,6,à‰ë∫ è´àÍ,11,47,58,2,3,3.86,78.20,0,0,0,0,0,0,0,0,4,20,0.0,0.0,16.6,8
20120626,aomori,2,,,,5,7,ä`‡V ëÂãM,20,22,97,3,2,3.71,87.14,6,9,4,4,2,0,7,3,1,17,25.0,35.7,39.2,2
20120626,aomori,2,,,,6,8,îêà‰ èüçK,8,48,57,2,3,3.92,79.04,0,0,0,0,0,0,0,0,3,22,0.0,0.0,12.0,3
20120626,aomori,2,,,,6,9,ãTà‰ ãvçK,12,30,95,3,2,3.79,83.41,4,10,3,3,1,1,2,6,1,22,6.4,25.8,29.0,4
20120626,aomori,3,,,,1,1,Íéì° ê¨ó«,1,45,69,3,3,3.85,87.22,0,0,0,0,2,3,1,4,5,17,3.7,18.5,37.0,4
20120626,aomori,3,,,,2,2,êƒì° èdñæ,13,42,71,3,2,4.17,85.20,2,6,3,6,0,0,5,4,1,14,20.8,37.5,41.6,8
20120626,aomori,3,,,,3,3,ìcï£ ê≥ë•,11,45,66,2,3,4.00,82.22,1,0,0,0,2,1,0,3,3,21,0.0,11.1,22.2,5
20120626,aomori,3,,,,4,4,ê¥êÖ àÍîé,3,35,84,2,3,3.77,81.50,3,0,0,0,2,1,2,1,4,23,6.6,10.0,23.3,6
20120626,aomori,3,,,,4,5,êºä™ èGëæ,15,27,97,2,2,3.86,84.10,2,3,1,2,2,1,3,3,2,21,10.3,20.6,27.5,1
20120626,aomori,3,,,,5,6,ã¥ñ{ êMãv,10,38,76,2,3,3.79,75.41,0,0,0,0,0,0,0,0,1,24,0.0,0.0,4.0,7
20120626,aomori,3,,,,5,7,çÇíJ ïqéj,2,27,91,2,2,3.86,87.82,2,16,10,2,0,0,8,4,3,14,27.5,41.3,51.7,2
