date,place,race_num,predict,koukiai,evaluation,bracket,car_num,name,prefecture,age,period,rank,leg,gear,racing piont,S,B,Nige,Maki,Sashi,Ma,1st,2nd,3rd,Chakugai,win,2ren,3ren,result
20111208,gifu,1,,,,1,1,éRíÜ ì÷éj,23,32,85,3,2,3.69,83.57,1,5,5,3,0,0,6,2,1,12,28.5,38.0,42.8,4
20111208,gifu,1,,,,2,2,ëÂí|ñÏ óTé˜,46,29,88,3,2,3.64,85.60,1,5,0,3,0,0,2,1,3,15,9.5,14.2,28.5,8
20111208,gifu,1,,,,3,3,èîìc èüêm,11,47,54,3,3,3.79,87.45,0,0,0,0,4,3,0,7,3,14,0.0,29.1,41.6,1
20111208,gifu,1,,,,4,4,ñÏçË èCàÍ,9,48,57,2,3,3.83,79.50,0,0,0,0,2,0,0,2,4,18,0.0,8.3,25.0,3
20111208,gifu,1,,,,4,5,èºîˆ ìß,40,26,96,2,1,3.71,83.80,1,1,0,2,1,0,2,1,2,16,9.5,14.2,23.8,5
20111208,gifu,1,,,,5,6,çrñÿ èüê¨,23,42,63,2,3,3.77,74.00,0,0,0,0,0,0,0,0,0,21,0.0,0.0,0.0,9
20111208,gifu,1,,,,5,7,ïêì° ìƒçO,11,27,95,2,2,3.71,90.00,4,5,0,7,3,0,6,4,3,10,26.0,43.4,56.5,2
20111208,gifu,1,,,,6,8,ñæêØ ê∞ìπ,38,35,82,2,1,3.71,78.57,1,1,0,0,1,1,0,2,0,19,0.0,9.5,9.5,7
20111208,gifu,1,,,,6,9,éRìc ç_àÍ,40,44,59,2,3,3.71,81.33,0,0,0,0,0,1,0,1,3,14,0.0,5.5,22.2,6
20111208,gifu,2,,,,1,1,çÇà‰ çLñæ,21,46,58,3,3,3.69,88.88,3,0,0,2,9,1,8,4,1,14,29.6,44.4,48.1,9
20111208,gifu,2,,,,2,2,é≥åÀ çKéi,14,41,68,3,3,3.71,83.20,0,0,0,0,3,1,1,3,2,19,4.0,16.0,24.0,3
20111208,gifu,2,,,,3,3,ñFñÏ è†,38,26,93,3,2,3.71,89.88,2,6,4,6,5,0,7,8,1,11,25.9,55.5,59.2,8
20111208,gifu,2,,,,4,4,ãﬂì° ó«ëæ,23,24,93,2,2,4.00,80.87,4,10,4,1,0,0,1,4,2,17,4.1,20.8,29.1,2
20111208,gifu,2,,,,4,5,ç≤ñÏ èü,36,48,52,3,3,4.17,83.39,0,0,0,0,4,3,4,3,2,14,17.3,30.4,39.1,5
20111208,gifu,2,,,,5,6,íÜí√ óFêb,24,37,73,2,3,3.71,74.56,0,0,0,0,0,0,0,0,1,24,0.0,0.0,4.0,7
20111208,gifu,2,,,,5,7,â|ñ{ åıíj,22,34,85,3,1,3.57,86.16,8,0,0,8,1,0,6,3,1,14,25.0,37.5,41.6,1
20111208,gifu,2,,,,6,8,äÅéR ëÂï„,14,37,76,2,3,3.64,78.95,0,0,0,0,1,0,0,1,3,21,0.0,4.0,16.0,4
20111208,gifu,2,,,,6,9,íÜêÏ ëÏé°,36,49,54,2,3,3.77,81.34,0,0,0,0,2,1,1,2,1,19,4.3,13.0,17.3,6
20111208,gifu,3,,,,1,1,ãgèº å´ìÒ,10,26,90,3,2,3.85,82.29,5,10,4,3,2,0,8,1,0,18,29.6,33.3,33.3,4
20111208,gifu,3,,,,2,2,íÜè åõéi,28,34,82,2,3,3.77,90.58,0,0,0,0,6,4,4,6,5,9,16.6,41.6,62.5,2
20111208,gifu,3,,,,3,3,ó«âi ç_àÍ,40,32,86,3,1,3.92,89.92,3,5,0,9,1,0,7,3,5,11,26.9,38.4,57.6,1
20111208,gifu,3,,,,4,4,í|ñÏ çsìo,46,44,64,2,3,3.69,79.95,0,0,0,0,0,0,0,0,1,21,0.0,0.0,4.5,7
20111208,gifu,3,,,,4,5,ãﬂì° è∏àÍ,10,47,54,2,3,3.64,81.08,0,0,0,0,1,3,0,4,1,19,0.0,16.6,20.8,3
20111208,gifu,3,,,,5,6,è¨ó— èÀçW,27,32,85,2,3,3.77,78.00,0,0,0,0,1,1,1,1,1,20,4.3,8.6,13.0,8
20111208,gifu,3,,,,5,7,ä¢ìc èüñÁ,40,37,77,3,3,3.85,84.52,1,0,0,0,4,2,0,6,5,15,0.0,23.0,42.3,9
20111208,gifu,3,,,,6,8,ïüéR çKçÏ,38,41,72,2,3,3.69,79.50,0,0,0,0,0,0,0,0,2,20,0.0,0.0,9.0,5
20111208,gifu,3,,,,6,9,ì°ìÍ ómâÓ,28,31,89,3,2,4.08,88.00,0,13,5,4,0,0,6,3,2,13,25.0,37.5,45.8,6
20111208,gifu,4,,,,1,1,íÜî® ê≥ïF,30,47,59,3,3,3.86,86.90,6,0,0,0,3,5,2,6,2,13,8.6,34.7,43.4,7
20111208,gifu,4,,,,2,2,ìøâi êMéë,13,43,64,2,3,3.71,81.14,0,0,0,0,2,1,0,3,1,17,0.0,14.2,19.0,4
20111208,gifu,4,,,,3,3,êVë∫ ê^,33,31,87,2,2,3.79,91.19,3,8,4,8,2,0,10,4,0,7,47.6,66.6,66.6,2
20111208,gifu,4,,,,4,4,ãgâ™ óTìÒ,34,44,59,2,3,3.71,80.12,0,0,0,0,1,0,1,0,4,19,4.1,4.1,20.8,5
20111208,gifu,4,,,,4,5,ã{êÏ êΩ,13,41,73,2,2,3.85,82.47,4,11,3,0,0,1,2,2,2,15,9.5,19.0,28.5,3
20111208,gifu,4,,,,5,6,óÈñÿ èü,12,34,79,2,1,3.69,73.81,1,0,0,0,0,0,0,0,1,26,0.0,0.0,3.7,9
20111208,gifu,4,,,,5,7,ìÅç™ ó≤èÉ,18,33,83,3,2,3.85,87.04,2,2,0,7,1,0,7,1,4,12,29.1,33.3,50.0,6
20111208,gifu,4,,,,6,8,è¨ó— íºé˜,28,39,72,2,3,3.69,78.58,0,0,0,0,0,0,0,0,2,22,0.0,0.0,8.3,8
20111208,gifu,4,,,,6,9,â™çË ìNèπ,33,40,65,3,3,3.79,87.18,1,0,0,0,2,1,1,2,6,18,3.7,11.1,33.3,1
20111208,gifu,5,,,,1,1,ëÂñ‘ èrè∫,12,44,62,3,3,3.86,89.77,1,0,0,1,2,5,1,7,0,15,4.3,34.7,34.7,5
20111208,gifu,5,,,,2,2,óòç™ ê≥ñæ,44,22,97,2,2,3.71,92.37,0,14,9,1,0,0,7,3,2,5,41.1,58.8,70.5,2
