date,place,race_num,predict,koukiai,evaluation,bracket,car_num,name,prefecture,age,period,rank,leg,gear,racing piont,S,B,Nige,Maki,Sashi,Ma,1st,2nd,3rd,Chakugai,win,2ren,3ren,result
20150807,hiroshima,1,9,,11,1,1,ëÚìc óEé°,35,26,98,1,1,3.85,80.33,0,0,0,1,3,3,4,3,2,12,19.0,33.3,42.8,4
20150807,hiroshima,1,8,,13,2,2,êÏêº ó∫âÓ,30,38,86,1,1,3.85,75.57,0,2,1,5,6,1,10,3,3,5,47.6,61.9,76.1,1
20150807,hiroshima,1,5,,15,3,3,éRçË ë◊å»,33,26,101,1,2,3.92,71.34,1,9,4,1,1,0,3,3,4,11,14.2,28.5,47.6,5
20150807,hiroshima,1,7,,17,4,4,úAìc ç_,24,46,64,1,3,3.77,67.00,0,0,0,0,3,2,0,5,2,18,0.0,20.0,28.0,6
20150807,hiroshima,1,6,,13,5,5,â™ìc ìƒ,30,41,79,1,3,3.92,75.70,0,0,0,0,1,0,1,0,1,16,5.5,5.5,11.1,3
20150807,hiroshima,1,,,17,6,6,íÜë∫ å´ìÒ,23,32,97,1,2,3.92,66.66,1,8,1,1,0,1,1,2,3,15,4.7,14.2,28.5,7
20150807,hiroshima,1,,,16,6,7,ä¢ìc èüñÁ,40,41,77,1,3,3.83,68.33,0,0,0,0,3,0,2,1,3,13,10.5,15.7,31.5,2
20150807,hiroshima,2,6,,16,1,1,ìcëO ã`éÁ,24,51,61,1,3,3.92,69.90,0,0,0,0,5,3,3,5,2,11,14.2,38.0,47.6,5
20150807,hiroshima,2,9,,13,2,2,èºìc íºñÁ,44,30,92,1,1,3.92,75.43,12,12,6,9,1,0,13,3,3,4,56.5,69.5,82.6,1
20150807,hiroshima,2,,,17,3,3,ä‚çË ñ´,26,37,81,1,3,3.92,66.61,6,4,1,1,0,1,0,3,3,15,0.0,14.2,28.5,4
20150807,hiroshima,2,8,,13,4,4,äÏî[ ó≤éu,47,31,92,1,3,3.93,75.66,0,0,0,0,1,0,1,0,3,14,5.5,5.5,22.2,3
20150807,hiroshima,2,7,,10,5,5,ìøãg çLãI,40,38,84,1,3,3.92,83.58,2,0,0,0,5,5,3,7,3,11,12.5,41.6,54.1,2
20150807,hiroshima,2,,,17,6,6,äôíJ éıòa,28,38,83,1,3,3.92,66.41,0,0,0,0,1,0,1,0,3,25,3.4,3.4,13.7,6
20150807,hiroshima,2,5,,14,6,7,ãgìc è´ê¨,21,31,92,1,1,3.85,74.00,2,1,1,1,5,0,5,2,2,9,27.7,38.8,50.0,7
20150807,hiroshima,3,7,,15,1,1,ç≤ÅXñÿ âpîV,37,40,78,1,3,3.86,71.59,0,0,0,0,2,3,2,3,5,5,13.3,33.3,66.6,5
20150807,hiroshima,3,,,17,2,2,ãvï€ìc ïÚï∂,18,37,86,1,3,3.79,65.79,1,1,0,0,1,0,0,1,4,19,0.0,4.1,20.8,2
20150807,hiroshima,3,8,,10,3,3,ì°ñÏ ãMèÕ,41,27,97,1,3,3.92,82.28,0,0,0,1,4,2,3,4,4,10,14.2,33.3,52.3,6
20150807,hiroshima,3,9,,13,4,4,ãgïê êMëæòN,38,21,107,1,2,3.85,76.66,2,4,2,1,0,0,2,1,1,2,33.3,50.0,66.6,1
20150807,hiroshima,3,5,,15,5,5,èHâi çVêl,40,29,98,1,2,3.85,71.04,0,4,1,3,0,1,1,4,6,10,4.7,23.8,52.3,3
20150807,hiroshima,3,6,,17,6,6,àÍä€ ê≠ãM,23,44,69,1,3,3.92,65.08,0,0,0,0,0,1,0,1,2,9,0.0,8.3,25.0,4
20150807,hiroshima,3,,,16,6,7,ã{çË óTñÁ,35,40,80,1,3,3.92,69.47,0,0,0,0,1,0,1,0,3,14,5.5,5.5,22.2,7
20150807,hiroshima,4,6,,17,1,1,ìcíÜ å´ìÒ,43,43,70,1,1,3.71,67.41,4,1,0,2,1,1,1,3,4,16,4.1,16.6,33.3,6
20150807,hiroshima,4,8,,14,2,2,ê‘èº êΩàÍ,39,47,61,1,3,3.85,72.52,1,0,0,0,5,4,4,5,6,9,16.6,37.5,62.5,5
20150807,hiroshima,4,5,,14,3,3,íÜín ñÉêl,18,26,99,1,2,3.86,73.66,3,9,7,3,0,0,6,4,5,6,28.5,47.6,71.4,3
20150807,hiroshima,4,,,16,4,4,ìÒã{ éi,44,37,86,1,3,3.86,68.77,4,0,0,0,4,1,2,3,6,16,7.4,18.5,40.7,4
20150807,hiroshima,4,9,,11,5,5,ã{çË çNéi,37,27,94,1,2,3.92,80.59,1,14,9,1,0,0,8,2,3,12,32.0,40.0,52.0,1
20150807,hiroshima,4,,,18,6,6,éRîˆ åı,36,46,62,1,3,3.92,62.10,0,0,0,0,0,0,0,0,1,9,0.0,0.0,10.0,7
20150807,hiroshima,4,7,,14,6,7,êXë∫ óD,27,48,57,1,3,3.83,74.72,0,0,0,0,3,1,2,2,0,18,9.0,18.1,18.1,2
20150807,hiroshima,5,8,,16,1,1,è¨âY óEàÍ,34,45,66,1,3,3.93,69.28,0,0,0,0,0,0,0,0,2,6,0.0,0.0,25.0,7
20150807,hiroshima,5,5,,14,2,2,çÇìc îπêl,43,37,81,1,3,3.93,73.16,0,0,0,0,6,3,3,6,1,8,16.6,50.0,55.5,4
20150807,hiroshima,5,9,,12,3,3,éÊíπ óYå·,33,20,107,1,2,3.79,79.33,0,5,5,0,1,0,5,1,0,0,83.3,100.0,100.0,1
20150807,hiroshima,5,6,,17,4,4,âúêX ïq,27,31,97,1,1,3.71,66.05,4,0,0,0,0,0,0,0,3,18,0.0,0.0,14.2,3
20150807,hiroshima,5,7,,16,5,5,óFìc óYâÓ,43,40,75,1,1,3.92,70.00,0,1,0,1,4,1,3,3,4,13,13.0,26.0,43.4,2
20150807,hiroshima,5,,,17,6,6,ç°í√ âpàÍ,27,42,71,1,1,3.92,65.50,8,2,0,0,2,1,2,1,3,22,7.1,10.7,21.4,5
20150807,hiroshima,5,,,17,6,7,íÜìá ñŒóY,39,52,59,1,3,3.85,66.54,0,0,0,0,1,0,0,1,5,18,0.0,4.1,25.0,6
20150807,hiroshima,6,,,7,1,1,î~ìc ó[ãM,18,28,108,2,1,3.69,47.66,0,1,0,0,0,1,0,1,1,4,0.0,16.6,33.3,5
20150807,hiroshima,6,7,,6,2,2,ê¬ñÿ î¸óD,9,21,106,2,1,3.62,49.41,1,1,0,1,4,0,3,2,2,17,12.5,20.8,29.1,3
