date,place,race_num,predict,koukiai,evaluation,bracket,car_num,name,prefecture,age,period,rank,leg,gear,racing piont,S,B,Nige,Maki,Sashi,Ma,1st,2nd,3rd,Chakugai,win,2ren,3ren,result
20120118,hofu,1,,,,1,1,çLê£ ãª,34,37,81,1,1,3.79,73.73,1,8,0,2,1,4,2,5,6,17,6.6,23.3,43.3,1
20120118,hofu,1,,,,2,2,ìå ó≤îV,45,24,100,1,2,3.64,69.43,0,3,0,1,1,0,1,1,7,14,4.3,8.6,39.1,6
20120118,hofu,1,,,,3,3,î®ìá è»å·,33,49,52,1,3,3.79,77.72,0,0,0,0,0,0,0,0,2,23,0.0,0.0,8.0,7
20120118,hofu,1,,,,4,4,íÜë∫ ñMïv,11,47,60,1,3,3.92,75.37,0,0,0,0,0,2,0,2,1,24,0.0,7.4,11.1,2
20120118,hofu,1,,,,5,5,ñÏñ{ îéèr,39,49,56,1,3,3.71,71.79,0,0,0,0,1,1,0,2,5,17,0.0,8.3,29.1,4
20120118,hofu,1,,,,6,6,ç◊ìc ê^éj,13,34,87,1,2,3.92,66.73,0,12,4,0,1,0,4,1,3,19,14.8,18.5,29.6,3
20120118,hofu,1,,,,6,7,íÜë∫ à¿éu,41,45,58,1,3,3.92,79.91,0,0,0,0,2,0,2,0,2,20,8.3,8.3,16.6,5
20120118,hofu,2,,,,1,1,â™ìc å[ìn,38,21,100,1,2,3.69,72.76,1,5,1,5,1,0,4,3,3,16,15.3,26.9,38.4,7
20120118,hofu,2,,,,2,2,éOçD åbéO,34,55,37,1,3,3.92,75.34,0,0,0,0,1,1,0,2,1,21,0.0,8.3,12.5,6
20120118,hofu,2,,,,3,3,ñÿë∫ ê¨äÛ,12,29,96,1,2,3.71,78.68,1,9,3,3,0,0,3,3,0,16,13.6,27.2,27.2,1
20120118,hofu,2,,,,4,4,ìcíÜ ãúéi,13,36,85,1,1,3.85,69.45,1,1,0,1,1,1,2,1,1,21,8.0,12.0,16.0,4
20120118,hofu,2,,,,5,5,âHìc ê^éi,36,41,67,1,3,3.64,81.51,1,0,0,0,0,3,0,3,5,19,0.0,11.1,29.6,3
20120118,hofu,2,,,,6,6,ñ—óò ózàÍ,47,45,57,1,1,3.77,68.11,2,0,0,0,0,1,0,1,2,24,0.0,3.7,11.1,5
20120118,hofu,2,,,,6,7,óÈñÿ óùêm,12,37,74,1,3,3.85,73.33,1,0,0,0,1,6,0,7,4,19,0.0,23.3,36.6,2
20120118,hofu,3,,,,1,1,ãeín ñ´,11,48,53,1,3,4.17,81.73,0,0,0,1,1,2,1,3,5,18,3.7,14.8,33.3,2
20120118,hofu,3,,,,2,2,ãgìc òaïF,44,43,63,1,3,3.71,74.62,0,0,0,0,0,2,0,2,0,7,0.0,22.2,22.2,6
20120118,hofu,3,,,,3,3,ñÏó¢ àÌëP,34,34,82,1,3,3.83,76.13,2,0,0,0,2,2,2,2,1,17,9.0,18.1,22.7,5
20120118,hofu,3,,,,4,4,çÇã¥ è∏ïΩ,11,22,99,1,2,3.57,75.40,2,6,1,6,2,0,7,2,3,9,33.3,42.8,57.1,1
20120118,hofu,3,,,,5,5,ï∫ìÆ èGé°,34,32,97,1,2,3.77,73.32,0,5,2,4,2,0,4,4,3,20,12.9,25.8,35.4,4
20120118,hofu,3,,,,6,6,çïñÿ åı,44,23,97,1,2,3.77,66.00,2,1,1,1,0,1,0,3,2,21,0.0,11.5,19.2,7
20120118,hofu,3,,,,6,7,î´ë∫ êêé˜,9,36,78,1,3,3.69,71.00,2,0,0,0,2,2,0,4,6,20,0.0,13.3,33.3,3
20120118,hofu,4,,,,1,1,íÜéR åhëæòY,43,22,100,1,2,3.69,81.62,0,5,4,14,2,0,16,4,2,2,66.6,83.3,91.6,1
20120118,hofu,4,,,,2,2,ç°à‰ çDé°,10,32,86,1,1,3.64,75.76,0,0,0,0,0,0,0,0,3,22,0.0,0.0,12.0,3
20120118,hofu,4,,,,3,3,ñÿî¶ çKêm,46,38,73,1,3,3.85,82.68,1,0,0,0,0,5,0,5,6,15,0.0,19.2,42.3,2
20120118,hofu,4,,,,4,4,éRçË ï€,15,48,51,1,3,3.69,71.11,0,0,0,0,0,1,0,1,4,21,0.0,3.8,19.2,6
20120118,hofu,4,,,,5,5,ó— íºãP,8,24,99,1,2,3.71,71.62,0,6,4,2,1,1,5,3,2,17,18.5,29.6,37.0,5
20120118,hofu,4,,,,6,6,ã{ñ{ îé,22,44,68,1,3,3.77,65.22,0,0,0,0,0,0,0,0,1,30,0.0,0.0,3.2,7
20120118,hofu,4,,,,6,7,í≈âÆ åıç_,47,42,63,1,3,3.93,73.96,1,0,0,0,6,5,5,6,4,15,16.6,36.6,50.0,4
20120118,hofu,5,,,,1,1,àÓót àÍê^,22,22,100,1,2,3.85,72.45,0,6,4,2,0,0,3,3,4,14,12.5,25.0,41.6,6
20120118,hofu,5,,,,2,2,è¨ìà çNîé,9,37,81,1,3,3.86,73.62,0,0,0,0,1,0,0,1,0,26,0.0,3.7,3.7,5
20120118,hofu,5,,,,3,3,êôéR ã`ìø,40,45,58,1,3,4.00,84.08,3,0,0,0,5,1,4,2,2,15,17.3,26.0,34.7,2
20120118,hofu,5,,,,4,4,êõê∂ èüî¸,14,43,65,1,3,3.92,69.22,0,1,0,0,3,3,0,6,4,21,0.0,19.3,32.2,7
20120118,hofu,5,,,,5,5,çDâi çW,41,21,98,1,2,3.64,81.23,4,9,3,17,5,0,17,8,2,3,56.6,83.3,90.0,1
20120118,hofu,5,,,,6,6,éRçË óTç∆,10,33,88,1,1,3.77,67.77,0,2,0,3,0,0,2,1,2,22,7.4,11.1,18.5,4
20120118,hofu,5,,,,6,7,ñkâY êméj,43,41,67,1,1,3.62,73.06,0,0,0,0,5,3,3,5,4,18,10.0,26.6,40.0,3
20120118,hofu,6,,,,1,1,ãgìc é¸éi,37,42,70,3,3,3.93,90.65,1,0,0,0,5,3,2,6,4,12,8.3,33.3,50.0,1
20120118,hofu,6,,,,2,2,íÜêÏ åcàÍ,12,24,91,3,1,3.77,88.66,2,3,0,7,1,0,4,4,2,15,16.0,32.0,40.0,6
20120118,hofu,6,,,,3,3,ä÷ îéîV,42,36,82,2,3,3.64,86.35,0,0,0,0,1,2,1,2,5,12,5.0,15.0,40.0,9
20120118,hofu,6,,,,4,4,ãæ ìNñÁ,36,34,82,2,1,3.85,81.79,0,1,0,1,0,1,0,2,2,20,0.0,8.3,16.6,7
