date,place,race_num,predict,koukiai,evaluation,bracket,car_num,name,prefecture,age,period,rank,leg,gear,racing piont,S,B,Nige,Maki,Sashi,Ma,1st,2nd,3rd,Chakugai,win,2ren,3ren,result
20111210,ito,1,,,,1,1,éRìc ãvìø,26,24,93,4,2,3.85,100.00,1,13,4,4,0,0,5,3,1,15,20.8,33.3,37.5,3
20111210,ito,1,,,,2,2,ä÷åÀ ìw,4,36,82,5,3,3.85,101.95,2,0,0,0,5,0,2,3,5,12,9.0,22.7,45.4,4
20111210,ito,1,,,,3,3,è¨êÏ óSéi,38,29,96,4,2,3.86,102.43,0,10,4,3,0,0,4,3,3,13,17.3,30.4,43.4,2
20111210,ito,1,,,,4,4,íCå» ñL,29,33,86,4,1,3.83,92.72,0,1,0,0,2,0,1,1,0,20,4.5,9.0,9.0,5
20111210,ito,1,,,,4,5,ç‚å˚ ëÏém,7,33,88,4,3,3.85,98.39,2,0,0,0,2,1,1,2,3,17,4.3,13.0,26.0,6
20111210,ito,1,,,,5,6,éRñ{ çGñæ,36,33,83,4,1,3.92,91.80,2,0,0,0,1,1,1,1,2,22,3.8,7.6,15.3,8
20111210,ito,1,,,,5,7,éôã  çLéu,37,42,66,4,3,3.77,102.46,1,0,0,0,2,2,2,2,2,10,12.5,25.0,37.5,7
20111210,ito,1,,,,6,8,â¡î¸éR ó≤çs,4,25,92,4,2,3.92,92.16,0,6,0,2,0,0,2,0,2,21,8.0,8.0,16.0,9
20111210,ito,1,,,,6,9,ã‡ìc åíàÍòY,27,44,60,5,3,3.79,100.63,0,0,0,0,2,2,2,2,1,17,9.0,18.1,22.7,1
20111210,ito,2,,,,1,1,ñ]åé ãIíj,22,34,79,4,3,3.85,98.45,1,0,0,0,2,1,2,1,3,18,8.3,12.5,25.0,3
20111210,ito,2,,,,2,2,ìËå¥ óRè´,40,24,94,4,2,3.85,99.77,0,4,1,3,0,0,3,1,4,11,15.7,21.0,42.1,4
20111210,ito,2,,,,3,3,ñÿñ{ å´ìÒ,27,39,69,4,1,3.71,100.04,7,0,0,0,4,1,2,3,3,16,8.3,20.8,33.3,2
20111210,ito,2,,,,4,4,éOã¥ ê≠çO,30,41,69,4,3,3.92,95.90,0,0,0,0,1,1,0,2,1,17,0.0,10.0,15.0,5
20111210,ito,2,,,,4,5,ìcíÜ çFïF,22,25,91,4,2,3.92,101.70,0,13,4,1,0,0,2,3,4,18,7.4,18.5,33.3,1
20111210,ito,2,,,,5,6,òhìc â¿éj,18,28,88,4,1,4.00,92.08,7,9,1,2,0,0,1,2,1,21,4.0,12.0,16.0,7
20111210,ito,2,,,,5,7,å√ä’ ó«âÓ,40,38,73,5,3,3.92,102.80,3,0,0,0,3,3,2,4,4,11,9.5,28.5,47.6,9
20111210,ito,2,,,,6,8,å¥ìc òañæ,12,31,87,4,3,3.85,92.27,2,1,0,0,1,0,0,1,2,15,0.0,5.5,16.6,6
20111210,ito,2,,,,6,9,ç≤ÅXñÿ ç_éO,41,49,50,4,3,3.92,99.30,0,0,0,0,3,2,3,2,2,17,12.5,20.8,29.1,8
20111210,ito,3,,,,1,1,çÇñÿ ó≥éi,43,35,82,4,1,3.79,99.59,0,3,1,3,1,3,2,6,3,12,8.6,34.7,47.8,3
20111210,ito,3,,,,2,2,ç™ìc ãÛéj,12,23,94,5,2,3.92,101.52,0,12,5,1,0,0,4,2,0,17,17.3,26.0,26.0,2
20111210,ito,3,,,,3,3,ã‡ê¨ òaçK,7,32,88,5,1,4.00,102.44,1,0,0,2,1,3,1,5,1,12,5.2,31.5,36.8,6
20111210,ito,3,,,,4,4,ä‚ã¥ ë•ñæ,11,39,78,4,3,3.71,95.52,0,0,0,0,1,1,1,1,0,19,4.7,9.5,9.5,4
20111210,ito,3,,,,4,5,Íéì° êaàÍòN,2,34,82,5,3,3.71,97.27,0,0,0,0,0,2,0,2,3,17,0.0,9.0,22.7,7
20111210,ito,3,,,,5,6,âÕí√ è∆ïF,23,45,60,4,3,3.92,90.59,0,0,0,0,1,0,1,0,0,21,4.5,4.5,4.5,8
20111210,ito,3,,,,5,7,å√êÏ å˜ìÒ,7,26,92,4,2,3.85,102.20,2,9,4,3,0,0,4,3,1,12,20.0,35.0,40.0,9
