date,place,race_num,predict,koukiai,evaluation,bracket,car_num,name,prefecture,age,period,rank,leg,gear,racing piont,S,B,Nige,Maki,Sashi,Ma,1st,2nd,3rd,Chakugai,win,2ren,3ren,result
20120203,kochi,1,,,,1,1,è¨ó— èÅìÒ,10,39,75,4,3,3.85,99.80,1,0,0,0,1,0,0,1,10,16,0.0,3.7,40.7,4
20120203,kochi,1,,,,2,2,åÀìc ómïΩ,33,28,92,4,2,3.86,95.14,3,4,0,3,2,1,2,4,6,16,7.1,21.4,42.8,7
20120203,kochi,1,,,,3,3,ñÏë∫ èÉçG,14,35,82,4,3,3.86,98.70,0,0,0,0,1,0,0,1,5,14,0.0,5.0,30.0,3
20120203,kochi,1,,,,4,4,ãﬂì° ó≤éi,12,28,90,4,2,3.77,93.54,1,7,5,3,1,0,7,2,3,12,29.1,37.5,50.0,1
20120203,kochi,1,,,,4,5,éRç™ ë◊ìπ,33,42,64,4,3,3.86,96.40,0,0,0,0,2,1,1,2,2,18,4.3,13.0,21.7,6
20120203,kochi,1,,,,5,6,åıâ™ ã`óm,23,37,73,4,3,3.71,0.00,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,9
20120203,kochi,1,,,,5,7,à‰è„ êì,13,22,97,4,2,4.003.85,99.52,2,12,1,2,0,0,2,1,1,19,8.6,13.0,17.3,2
20120203,kochi,1,,,,6,8,çÇã¥ åíëæ,22,34,80,4,3,3.92,92.10,0,0,0,0,3,2,3,2,1,14,15.0,25.0,30.0,8
20120203,kochi,1,,,,6,9,åÀÁ≥ âpóY,8,48,51,4,3,3.85,99.56,0,0,0,0,2,1,0,3,7,15,0.0,12.0,40.0,5
20120203,kochi,2,,,,1,1,é¬å¥ ó¥în,39,30,89,4,2,3.79,97.88,2,9,2,1,1,0,2,2,4,17,8.0,16.0,32.0,9
20120203,kochi,2,,,,2,2,íÜë∫ åıãg,24,44,60,4,3,4.08,97.56,0,0,0,0,3,1,2,2,3,17,8.3,16.6,29.1,6
20120203,kochi,2,,,,3,3,è¨ã¥ ñæãI,2,38,73,4,3,3.83,100.95,3,0,0,1,3,0,3,1,2,16,13.6,18.1,27.2,3
20120203,kochi,2,,,,4,4,ãgêÏ ãNñÁ,16,28,92,4,2,3.79,91.33,0,14,4,0,0,0,2,2,0,17,9.5,19.0,19.0,8
20120203,kochi,2,,,,4,5,ê¥êÖ ïqàÍ,10,40,67,4,3,3.85,92.76,0,0,0,0,0,1,0,1,2,14,0.0,5.8,17.6,2
20120203,kochi,2,,,,5,6,‡VãT ç_éi,40,44,60,4,3,3.93,89.11,0,0,0,0,4,1,4,1,0,13,22.2,27.7,27.7,4
20120203,kochi,2,,,,5,7,èºë∫ óFòa,27,32,88,4,1,3.86,93.40,0,0,0,0,1,1,1,1,1,13,6.2,12.5,18.7,5
20120203,kochi,2,,,,6,8,éRñ{ çGñæ,36,33,83,4,1,3.85,90.57,3,0,0,0,0,0,0,0,3,30,0.0,0.0,9.0,7
20120203,kochi,2,,,,6,9,çr‡V ãMéj,1,33,85,4,1,3.92,98.75,1,3,1,2,2,1,4,2,2,16,16.6,25.0,33.3,1
20120203,kochi,3,,,,1,1,ê_äJ ç_émòY,40,37,73,4,3,3.92,100.04,1,0,0,0,4,0,0,4,4,14,0.0,18.1,36.3,2
20120203,kochi,3,,,,2,2,ñŒñÿ òaêb,11,42,63,4,3,3.79,97.16,1,0,0,0,2,1,2,1,0,9,16.6,25.0,25.0,7
20120203,kochi,3,,,,3,3,éOòa âpé˜,25,42,69,4,2,4.50,96.66,0,2,1,4,0,0,3,2,0,16,14.2,23.8,23.8,6
20120203,kochi,3,,,,4,4,è¨éR ëÙñÅ,43,37,75,4,3,3.85,94.23,0,0,0,0,1,1,1,1,2,17,4.7,9.5,19.0,5
20120203,kochi,3,,,,4,5,ì°ìc ãùés,25,44,60,4,3,4.15,94.62,0,0,0,2,1,1,2,2,2,24,6.6,13.3,20.0,8
20120203,kochi,3,,,,5,6,èdâi èCïΩ,18,38,74,4,3,3.86,91.20,0,0,0,0,4,1,2,3,2,17,8.3,20.8,29.1,9
20120203,kochi,3,,,,5,7,èhå˚ ózàÍ,11,27,91,4,2,3.86,101.65,1,5,1,6,1,0,5,3,3,9,25.0,40.0,55.0,1
20120203,kochi,3,,,,6,8,óòç™ ê≥ñæ,44,22,97,4,2,3.77,93.13,0,18,10,1,0,0,4,7,2,9,18.1,50.0,59.0,3
20120203,kochi,3,,,,6,9,ëÂã¥ ìO,9,39,72,4,3,3.79,97.13,0,0,0,0,1,0,1,0,2,19,4.5,4.5,13.6,4
20120203,kochi,4,,,,1,1,ìnÁ≥ ê∞íq,22,38,73,5,3,3.92,113.24,2,0,0,1,10,1,6,6,4,9,24.0,48.0,64.0,7
20120203,kochi,4,,,,2,2,ç‚ñ{ ó∫în,40,26,90,5,1,3.85,110.73,0,2,0,4,1,1,1,5,1,9,6.2,37.5,43.7,6
20120203,kochi,4,,,,3,3,éOëÓ êL,33,42,64,5,3,3.79,110.62,3,0,0,0,6,1,6,1,5,12,25.0,29.1,50.0,4
20120203,kochi,4,,,,4,4,í|ì‡ åˆó∫,21,33,86,4,1,4.08,103.71,0,0,0,0,1,0,0,1,1,5,0.0,14.2,28.5,1
20120203,kochi,4,,,,4,5,ç‚ñ{ ãMéj,2,22,94,5,2,3.77,104.65,1,9,1,5,1,0,2,5,2,11,10.0,35.0,45.0,2
20120203,kochi,4,,,,5,6,àÓñ— åíëæ,30,22,97,4,2,3.86,102.95,0,11,2,4,0,0,3,3,2,13,14.2,28.5,38.0,5
20120203,kochi,4,,,,5,7,è\ï∂éö ãMêM,8,36,75,5,3,4.154.08,108.45,1,0,0,0,3,1,2,2,5,13,9.0,18.1,40.9,8
20120203,kochi,4,,,,6,8,â™õΩ ç_àÍ,14,43,69,4,3,4.17,103.14,0,0,0,0,1,0,1,0,4,2,14.2,14.2,71.4,9
20120203,kochi,4,,,,6,9,ç‚è„ íâçé,17,38,71,5,3,3.85,108.54,3,0,0,0,6,3,6,3,2,13,25.0,37.5,45.8,3
20120203,kochi,5,,,,1,1,ç≤ÅXñÿ ë•çK,39,35,79,5,1,3.71,112.80,0,6,1,6,0,0,3,4,4,10,14.2,33.3,52.3,3
20120203,kochi,5,,,,2,2,ñÿïÈ à¿óR,10,26,92,5,1,3.77,113.52,0,4,1,4,6,0,7,4,2,8,33.3,52.3,61.9,1
20120203,kochi,5,,,,3,3,ç≤ì° êTëæòY,7,35,78,5,3,3.92,111.76,1,1,0,0,7,0,5,2,3,12,22.7,31.8,45.4,2
20120203,kochi,5,,,,4,4,êºâ™ ê≥àÍ,30,34,84,5,3,4.08,105.46,3,0,0,0,3,0,1,2,4,9,6.2,18.7,43.7,7
20120203,kochi,5,,,,4,5,äÅú‰ çOé˜,38,46,57,5,3,4.08,107.10,1,0,0,0,2,4,1,5,2,12,5.0,30.0,40.0,4
20120203,kochi,5,,,,5,6,çÇã¥ òañÁ,23,25,91,5,2,3.79,97.48,1,12,6,9,0,0,10,5,0,10,40.0,60.0,60.0,9
20120203,kochi,5,,,,5,7,â¡ì° å\àÍ,14,33,85,5,3,3.85,108.76,0,0,0,0,3,1,1,3,2,8,7.1,28.5,42.8,6
20120203,kochi,5,,,,6,8,ç™ìc ãÛéj,12,23,94,5,2,3.77,103.00,0,12,7,0,0,0,2,5,1,12,10.0,35.0,40.0,8
20120203,kochi,5,,,,6,9,à¿ìå çGçÇ,44,29,90,5,1,3.92,108.80,3,0,0,1,3,2,3,3,2,13,14.2,28.5,38.0,5
