date,place,race_num,predict,koukiai,evaluation,bracket,car_num,name,prefecture,age,period,rank,leg,gear,racing piont,S,B,Nige,Maki,Sashi,Ma,1st,2nd,3rd,Chakugai,win,2ren,3ren,result
20120228,kumamoto,1,,,,1,1,êVìc óSëÂ,7,26,90,5,2,3.92,114.33,1,1,1,2,0,0,2,1,2,7,16.6,25.0,41.6,6
20120228,kumamoto,1,,,,2,2,â¡ì° å\àÍ,14,33,85,5,3,3.85,108.85,1,0,0,0,3,1,1,3,2,9,6.6,26.6,40.0,3
20120228,kumamoto,1,,,,3,3,óLâÍ çÇém,17,42,61,5,3,3.83,109.91,1,0,0,0,3,2,1,4,8,10,4.3,21.7,56.5,4
20120228,kumamoto,1,,,,4,4,éRìc ì÷ñÁ,1,28,88,5,3,3.86,104.65,1,0,0,0,3,0,2,1,2,17,9.0,13.6,22.7,7
20120228,kumamoto,1,,,,4,5,í©ì˙ óE,23,37,74,5,1,3.92,106.42,7,1,0,2,3,1,4,2,1,13,20.0,30.0,35.0,2
20120228,kumamoto,1,,,,5,6,íÜñÏ è≤êl,30,24,93,5,2,3.85,100.89,2,12,5,2,0,0,7,0,1,11,36.8,36.8,42.1,9
20120228,kumamoto,1,,,,5,7,îíåÀ è~ëæòY,14,38,74,5,3,3.92,106.48,1,0,0,0,5,1,4,2,2,18,15.3,23.0,30.7,5
20120228,kumamoto,1,,,,6,8,åIìc âÎñÁ,22,32,84,5,2,3.92,103.69,5,6,0,3,1,0,4,0,2,17,17.3,17.3,26.0,8
20120228,kumamoto,1,,,,6,9,‚Vì° ìoéuêM,4,39,80,5,3,3.85,110.43,1,0,0,2,6,0,6,2,3,12,26.0,34.7,47.8,1
20120228,kumamoto,2,,,,1,1,ì°å¥ åõê™,15,32,85,5,1,3.86,107.11,3,0,0,1,2,3,2,4,1,12,10.5,31.5,36.8,6
20120228,kumamoto,2,,,,2,2,íÁ óm,36,36,75,5,3,4.00,108.37,8,0,0,1,4,2,4,3,4,13,16.6,29.1,45.8,4
20120228,kumamoto,2,,,,3,3,ä‚ñ{ èrâÓ,12,27,94,5,2,3.85,107.27,2,10,4,2,1,0,2,5,2,13,9.0,31.8,40.9,1
20120228,kumamoto,2,,,,4,4,ç≤ñÏ î~àÍ,26,35,78,5,1,3.92,104.00,5,4,1,3,1,0,2,3,2,15,9.0,22.7,31.8,9
20120228,kumamoto,2,,,,4,5,ç≤ÅXñÿ ë•çK,39,35,79,5,1,3.71,113.22,0,6,1,4,1,0,3,3,5,11,13.6,27.2,50.0,5
20120228,kumamoto,2,,,,5,6,è¨ã¥ ê≥ã`,15,44,59,5,3,3.93,102.06,0,0,0,0,3,1,3,1,3,11,16.6,22.2,38.8,3
20120228,kumamoto,2,,,,5,7,ìnÁ≥ ê∞íq,22,38,73,5,3,3.92,111.91,2,0,0,1,9,1,6,5,4,9,25.0,45.8,62.5,2
20120228,kumamoto,2,,,,6,8,êºíJ äxï∂,26,33,93,5,2,4.00,102.85,0,11,1,4,1,0,4,2,3,12,19.0,28.5,42.8,8
20120228,kumamoto,2,,,,6,9,ë∫ñ{ ëÂï„,22,36,77,5,3,3.79,106.56,5,0,0,0,3,2,3,2,3,17,12.0,20.0,32.0,7
20120228,kumamoto,3,,,,1,1,éOëÓ êL,33,42,64,5,3,3.79,110.17,3,0,0,0,9,0,7,2,2,12,30.4,39.1,47.8,3
20120228,kumamoto,3,,,,2,2,ñkí√óØ óÉ,40,26,90,5,2,3.92,109.21,4,3,2,5,0,0,6,1,2,10,31.5,36.8,47.3,1
20120228,kumamoto,3,,,,3,3,âià‰ ê¥éj,21,28,88,5,2,4.00,111.14,0,13,4,1,1,1,4,3,5,9,19.0,33.3,57.1,6
20120228,kumamoto,3,,,,4,4,ïΩè¿ óRè[,7,36,83,5,3,4.004.17,104.20,1,0,0,0,4,4,4,4,2,16,15.3,30.7,38.4,9
20120228,kumamoto,3,,,,4,5,éOëÓ íBñÁ,33,34,79,5,2,4.08,113.95,1,4,0,7,1,0,5,3,3,10,23.8,38.0,52.3,7
20120228,kumamoto,3,,,,5,6,è¨ã¥ èGçK,2,33,85,4,1,3.92,96.50,3,2,0,3,4,0,5,2,1,14,22.7,31.8,36.3,5
20120228,kumamoto,3,,,,5,7,éRå˚ ïxê∂,21,42,68,5,3,3.85,109.27,1,0,0,0,3,1,0,4,3,6,0.0,30.7,53.8,8
20120228,kumamoto,3,,,,6,8,êºìc âÎéu,34,34,82,5,3,3.85,104.17,4,0,0,1,6,3,4,6,2,11,17.3,43.4,52.1,4
20120228,kumamoto,3,,,,6,9,ç‚ñ{ ó∫în,40,26,90,5,1,3.85,108.68,1,3,0,4,1,1,1,5,2,15,4.3,26.0,34.7,2
20120228,kumamoto,4,,,,1,1,àÓêÏ „ƒ,27,27,90,5,2,3.86,109.43,5,2,0,5,2,1,6,2,1,9,33.3,44.4,50.0,6
20120228,kumamoto,4,,,,2,2,éáå¥ ê≠ï∂,40,43,61,5,3,4.08,109.57,0,0,0,0,4,1,3,2,2,12,15.7,26.3,36.8,7
20120228,kumamoto,4,,,,3,3,àÓë∫ ê¨ç_,10,40,69,5,3,3.92,108.21,2,0,0,0,3,3,1,5,3,14,4.3,26.0,39.1,3
20120228,kumamoto,4,,,,4,4,‡®ìc äw,20,39,69,5,3,4.08,104.63,1,0,0,0,2,3,2,3,4,13,9.0,22.7,40.9,8
20120228,kumamoto,4,,,,4,5,ëOìc ëÒñÁ,27,38,71,5,3,3.79,111.82,0,0,0,0,7,2,6,3,2,6,35.2,52.9,64.7,4
20120228,kumamoto,4,,,,5,6,ü‚ îÚóYîn,38,33,86,4,1,3.79,101.50,1,1,0,0,1,0,0,1,4,12,0.0,5.8,29.4,9
20120228,kumamoto,4,,,,5,7,ãçéR ãMçL,8,30,92,5,2,4.00,106.59,1,11,2,6,0,0,4,4,2,12,18.1,36.3,45.4,1
20120228,kumamoto,4,,,,6,8,‡Vìc ã`òa,28,39,69,4,3,3.92,103.27,1,0,0,0,6,1,4,3,2,9,22.2,38.8,50.0,2
20120228,kumamoto,4,,,,6,9,çrà‰ êíîé,41,33,82,5,1,4.00,108.82,6,4,1,6,0,0,4,3,2,8,23.5,41.1,52.9,5
20120228,kumamoto,5,,,,1,1,éRìc âpñæ,41,28,89,5,2,3.92,108.14,4,3,0,7,0,0,4,3,2,12,19.0,33.3,42.8,7
20120228,kumamoto,5,,,,2,2,â™ìc ê™óz,13,31,85,5,1,3.92,115.75,2,2,1,5,7,1,9,5,1,5,45.0,70.0,75.0,1
20120228,kumamoto,5,,,,3,3,êÏë∫ çWéi,26,35,85,5,2,4.08,110.03,0,9,3,9,1,1,11,3,1,13,39.2,50.0,53.5,5
20120228,kumamoto,5,,,,4,4,êºêÏ êeçK,43,46,57,5,3,4.00,107.12,1,0,0,1,4,1,2,4,5,13,8.3,25.0,45.8,3
20120228,kumamoto,5,,,,4,5,ãÀéR åhëæòY,14,29,88,5,2,4.00,110.50,0,7,2,5,2,0,8,1,3,6,44.4,50.0,66.6,4
