date,place,race_num,predict,koukiai,evaluation,bracket,car_num,name,prefecture,age,period,rank,leg,gear,racing piont,S,B,Nige,Maki,Sashi,Ma,1st,2nd,3rd,Chakugai,win,2ren,3ren,result
20120223,odawara,1,,,,1,1,êºë∫ åıëæ,24,25,96,4,2,3.86,99.46,0,10,3,2,0,0,4,1,2,19,15.3,19.2,26.9,2
20120223,odawara,1,,,,2,2,ïxâi èπãv,41,31,88,4,2,3.86,98.33,3,1,0,2,3,0,1,4,2,20,3.7,18.5,25.9,8
20120223,odawara,1,,,,3,3,é¬çË çÇéu,9,39,72,4,3,3.92,100.11,0,0,0,0,3,4,2,5,2,17,7.6,26.9,34.6,4
20120223,odawara,1,,,,4,4,ç]òA òaóm,9,39,76,4,3,3.86,94.39,3,0,0,0,7,3,4,6,1,18,13.7,34.4,37.9,6
20120223,odawara,1,,,,4,5,ã ñÿ èüé¿,21,43,68,4,3,3.85,103.92,0,0,0,0,3,3,2,4,7,12,8.0,24.0,52.0,1
20120223,odawara,1,,,,5,6,êXâ™ ê≥êb,39,36,75,4,3,3.92,90.50,0,0,0,0,0,0,0,0,0,13,0.0,0.0,0.0,5
20120223,odawara,1,,,,5,7,èÈ çKçO,19,26,96,4,2,3.77,95.15,1,11,1,6,1,0,5,3,2,16,19.2,30.7,38.4,9
20120223,odawara,1,,,,6,8,èºë∫ óFòa,27,32,88,4,1,3.86,93.33,0,0,0,0,1,1,1,1,1,16,5.2,10.5,15.7,7
20120223,odawara,1,,,,6,9,ïΩìc êíè∫,40,46,55,4,3,3.79,97.94,2,0,0,0,0,0,0,0,5,15,0.0,0.0,25.0,3
20120223,odawara,2,,,,1,1,ì°ñÏ åıãg,41,39,75,4,3,4.25,97.16,1,0,0,0,3,2,3,2,3,17,12.0,20.0,32.0,8
20120223,odawara,2,,,,2,2,è¨íJìc åˆë•,7,30,88,4,2,3.86,97.50,1,1,0,5,2,0,3,4,2,19,10.7,25.0,32.1,2
20120223,odawara,2,,,,3,3,à¢ïî çNóY,15,44,68,4,3,3.85,103.60,1,0,0,1,5,1,5,2,3,15,20.0,28.0,40.0,1
20120223,odawara,2,,,,4,4,éûèº ê≥,43,40,67,4,3,3.77,94.07,0,0,0,0,1,0,1,0,2,27,3.3,3.3,10.0,7
20120223,odawara,2,,,,4,5,ã¥í‹ ó∫,10,29,91,4,2,4.00,100.12,0,14,5,1,0,0,3,3,4,16,11.5,23.0,38.4,5
20120223,odawara,2,,,,5,6,ëÍéR é¿,36,34,84,4,1,3.86,92.54,2,0,0,2,3,1,2,4,2,14,9.0,27.2,36.3,6
20120223,odawara,2,,,,5,7,ìàä— çÇëÂ,4,30,91,4,1,4.00,95.65,4,1,0,1,1,0,1,1,4,23,3.4,6.8,20.6,3
20120223,odawara,2,,,,6,8,ñÓìc êW,40,33,94,4,2,4.08,93.14,1,20,8,4,0,0,7,5,1,15,25.0,42.8,46.4,9
20120223,odawara,2,,,,6,9,à¿ì° çFê≥,11,35,82,4,3,3.86,97.08,1,0,0,0,3,3,3,3,4,14,12.5,25.0,41.6,4
20120223,odawara,3,,,,1,1,íÜë∫ î¸êÁó≤,28,35,80,4,2,4.00,103.72,0,8,6,3,2,0,7,4,3,11,28.0,44.0,56.0,2
20120223,odawara,3,,,,2,2,êXìc êi,11,46,57,4,3,4.00,101.64,0,0,0,0,6,0,4,2,1,11,22.2,33.3,38.8,6
20120223,odawara,3,,,,3,3,ïΩìc ìO,22,36,78,4,3,3.86,95.58,1,0,0,0,1,1,0,2,5,24,0.0,6.4,22.5,7
20120223,odawara,3,,,,4,4,íOîg ñıãM,33,37,74,4,3,3.86,93.86,0,0,0,0,0,0,0,0,1,15,0.0,0.0,6.2,4
20120223,odawara,3,,,,4,5,å√ìc ã`ñæ,24,38,79,4,3,3.85,100.67,4,0,0,0,6,2,3,5,3,21,9.3,25.0,34.3,3
20120223,odawara,3,,,,5,6,åÀïö çNïv,33,31,96,4,2,3.86,90.79,0,15,5,1,0,0,2,4,3,15,8.3,25.0,37.5,5
20120223,odawara,3,,,,5,7,üNà‰ ãIçK,10,40,68,4,3,3.92,98.09,0,0,0,0,0,1,0,1,4,17,0.0,4.5,22.7,8
20120223,odawara,3,,,,6,8,ó— éüòY,40,40,72,4,3,3.85,92.59,0,0,0,0,2,0,2,0,3,22,7.4,7.4,18.5,9
20120223,odawara,3,,,,6,9,èºìc óDàÍ,8,26,90,4,2,3.85,99.80,2,13,5,8,1,0,10,4,4,8,38.4,53.8,69.2,1
20120223,odawara,4,,,,1,1,ãﬂì° êΩìÒ,37,34,80,4,3,3.86,93.90,0,0,0,0,1,0,1,0,2,17,5.0,5.0,15.0,7
20120223,odawara,4,,,,2,2,ä÷ç™ çKïv,14,44,59,4,1,4.00,98.59,1,4,0,4,4,1,6,3,1,22,18.7,28.1,31.2,5
20120223,odawara,4,,,,3,3,ìõà‰ óTç∆,28,30,89,4,2,4.00,101.07,1,20,3,1,0,0,0,4,4,18,0.0,15.3,30.7,2
20120223,odawara,4,,,,4,4,íÜêÏ îééi,43,36,78,4,3,3.69,92.17,0,0,0,0,0,0,0,0,1,22,0.0,0.0,4.3,8
20120223,odawara,4,,,,4,5,ëÂíÀ óÊ,14,30,89,5,2,3.86,95.04,0,8,4,1,0,0,1,4,3,14,4.5,22.7,36.3,3
20120223,odawara,4,,,,5,6,ãvèº è∏àÍ,22,44,59,4,3,3.69,89.12,0,0,0,0,0,0,0,0,0,17,0.0,0.0,0.0,6
20120223,odawara,4,,,,5,7,î™ì˙ésâÆ ç_îV,17,36,79,4,3,3.86,103.15,6,0,0,0,7,3,5,5,2,14,19.2,38.4,46.1,9
20120223,odawara,4,,,,6,8,ñkë∫ êMñæ,36,26,93,4,1,3.71,91.08,4,2,0,2,1,0,2,1,1,20,8.3,12.5,16.6,1
20120223,odawara,4,,,,6,9,òkü∫ ê≥óò,23,42,65,4,3,3.92,97.66,1,0,0,1,3,1,2,3,4,21,6.6,16.6,30.0,4
20120223,odawara,5,,,,1,1,çÇìc åíàÍ,36,44,61,4,3,3.92,99.85,1,0,0,0,2,0,2,0,6,19,7.4,7.4,29.6,5
20120223,odawara,5,,,,2,2,éƒìc ó≥éj,22,23,96,4,2,3.92,102.66,1,4,2,2,1,0,3,2,1,10,18.7,31.2,37.5,6
20120223,odawara,5,,,,3,3,òhå© àÌäÏ,21,34,79,4,3,3.79,101.14,3,0,0,0,5,1,1,5,3,19,3.5,21.4,32.1,2
20120223,odawara,5,,,,4,4,ëÂñ‘ èrè∫,12,44,62,4,3,3.93,91.61,1,0,0,1,4,3,2,6,1,19,7.1,28.5,32.1,7
20120223,odawara,5,,,,4,5,å¥ êΩçG,37,26,91,4,1,3.77,98.27,5,0,0,3,1,0,2,2,1,14,10.5,21.0,26.3,8
20120223,odawara,5,,,,5,6,ëäó« èüî¸,7,40,70,4,3,3.85,89.65,1,0,0,0,1,3,1,3,1,19,4.1,16.6,20.8,3
20120223,odawara,5,,,,5,7,è¨ó— äo,14,49,56,4,3,3.71,96.00,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,9
20120223,odawara,5,,,,6,8,è¨êÚ èrñÁ,4,36,77,4,1,3.92,90.52,9,2,0,6,0,0,2,4,1,20,7.4,22.2,25.9,4
20120223,odawara,5,,,,6,9,à…ì° êM,26,28,92,4,2,3.86,96.78,1,19,4,4,0,0,4,4,3,21,12.5,25.0,34.3,1
20120223,odawara,6,,,,1,1,êŒà‰ ãB,14,38,74,4,3,3.85,102.08,2,0,0,0,2,0,2,0,7,15,8.3,8.3,37.5,8
20120223,odawara,6,,,,2,2,çr‡V ãMéj,1,33,85,4,1,4.00,98.23,1,3,1,3,2,1,5,2,2,21,16.6,23.3,30.0,2
20120223,odawara,6,,,,3,3,ä⁄ ë◊éÁ,23,36,80,4,3,3.85,97.68,4,1,0,2,1,1,2,2,3,20,7.4,14.8,25.9,3
20120223,odawara,6,,,,4,4,â°éR ñMïF,14,46,55,4,3,3.86,93.04,0,0,0,0,0,0,0,0,0,22,0.0,0.0,0.0,6
20120223,odawara,6,,,,4,5,ê¥êÖ çLçK,23,45,57,4,3,3.79,99.60,1,0,0,0,1,3,1,3,2,24,3.3,13.3,20.0,4
