date,place,race_num,predict,koukiai,evaluation,bracket,car_num,name,prefecture,age,period,rank,leg,gear,racing piont,S,B,Nige,Maki,Sashi,Ma,1st,2nd,3rd,Chakugai,win,2ren,3ren,result
20120210,shizuoka,1,,,,1,1,ç≤ì° ê≠óò,15,29,91,3,1,3.71,87.10,2,1,1,1,3,1,3,3,2,11,15.7,31.5,42.1,4
20120210,shizuoka,1,,,,2,2,ïΩå¥ ãPñÌ,14,41,71,3,2,3.85,86.42,0,6,1,2,0,0,2,1,4,13,10.0,15.0,35.0,2
20120210,shizuoka,1,,,,3,3,è¨ó— è≤ïv,7,28,93,2,2,3.79,82.61,2,3,0,2,1,0,3,0,5,13,14.2,14.2,38.0,6
20120210,shizuoka,1,,,,4,4,ñ{ä‘ è~,8,38,72,2,1,3.71,82.57,1,0,0,1,0,1,0,2,3,16,0.0,9.5,23.8,7
20120210,shizuoka,1,,,,4,5,âiñÏ èGòa,12,39,73,3,3,3.77,87.68,0,0,0,0,7,0,1,6,1,14,4.5,31.8,36.3,5
20120210,shizuoka,1,,,,5,6,ìcë∫ îéçK,1,43,61,2,3,3.62,78.52,0,0,0,0,1,0,1,0,2,20,4.3,4.3,13.0,9
20120210,shizuoka,1,,,,5,7,úAìc ãvè´,12,36,83,3,3,4.08,90.95,0,2,0,1,2,6,1,8,3,10,4.5,40.9,54.5,1
20120210,shizuoka,1,,,,6,8,ä‚ü∫ óSëæ,11,37,74,2,1,3.71,78.72,1,0,0,0,0,0,0,0,1,24,0.0,0.0,4.0,8
20120210,shizuoka,1,,,,6,9,êÏà‰ àÍåõ,10,41,65,3,3,3.79,87.04,3,0,0,1,3,1,4,1,4,16,16.0,20.0,36.0,3
20120210,shizuoka,2,,,,1,1,éOè„ ó≤çK,2,34,85,3,1,3.86,88.60,1,1,0,2,7,1,6,4,3,11,25.0,41.6,54.1,7
20120210,shizuoka,2,,,,2,2,òaìc ê^ãvóØ,14,20,99,2,2,3.57,85.15,1,6,1,3,2,1,3,4,6,6,15.7,36.8,68.4,1
20120210,shizuoka,2,,,,3,3,ëÂâÕå¥ òaïF,10,45,58,3,3,3.64,88.23,2,0,0,0,1,2,1,2,7,12,4.5,13.6,45.4,3
20120210,shizuoka,2,,,,4,4,è¨ïÙ àÍãM,11,42,64,2,3,4.08,81.61,1,0,0,0,2,0,1,1,4,20,3.8,7.6,23.0,9
20120210,shizuoka,2,,,,4,5,ãΩíÿ òaîé,14,42,70,3,3,3.86,87.50,0,0,0,0,2,1,1,2,4,13,5.0,15.0,35.0,2
20120210,shizuoka,2,,,,5,6,óéçá é¿,11,46,55,2,3,3.64,75.65,0,0,0,0,3,1,2,2,2,17,8.6,17.3,26.0,8
20120210,shizuoka,2,,,,5,7,â¡ì° èπòa,7,41,68,2,3,3.71,83.25,1,0,0,0,3,2,2,3,3,19,7.4,18.5,29.6,5
20120210,shizuoka,2,,,,6,8,èîìc é†ñÁ,22,39,71,3,3,3.79,79.59,2,0,0,0,0,1,0,1,0,15,0.0,6.2,6.2,6
20120210,shizuoka,2,,,,6,9,ã{ìá êπåÂ,20,24,93,2,2,3.79,86.14,4,10,4,0,1,0,3,2,6,16,11.1,18.5,40.7,4
20120210,shizuoka,3,,,,1,1,óÈñÿ ëæê∂óY,22,45,58,3,3,4.25,86.38,0,0,0,0,4,0,2,2,3,11,11.1,22.2,38.8,3
20120210,shizuoka,3,,,,2,2,è„ìc éOêÁïv,11,47,56,2,1,4.084.00,84.52,2,0,0,2,2,1,3,2,3,12,15.0,25.0,40.0,8
20120210,shizuoka,3,,,,3,3,è¨å¥ ë•ïv,2,49,57,2,3,3.79,88.60,0,0,0,1,5,2,5,3,1,14,21.7,34.7,39.1,5
20120210,shizuoka,3,,,,4,4,ëÂçË íqãv,2,29,89,2,1,3.93,82.40,1,3,1,1,2,0,3,1,1,17,13.6,18.1,22.7,7
20120210,shizuoka,3,,,,4,5,ñÿë∫ Ê®,14,38,76,2,3,3.79,84.37,0,0,0,0,2,1,1,2,3,23,3.4,10.3,20.6,1
20120210,shizuoka,3,,,,5,6,ä€ìá ê^â¸,12,42,64,2,3,3.75,75.66,0,0,0,0,0,0,0,0,1,8,0.0,0.0,11.1,9
20120210,shizuoka,3,,,,5,7,ñxì‡ è∏,8,23,95,2,2,3.85,85.41,1,15,3,4,0,1,5,3,1,15,20.8,33.3,37.5,4
20120210,shizuoka,3,,,,6,8,çÇìc ïqçL,13,42,67,2,3,3.92,80.86,0,0,0,0,3,0,1,2,1,19,4.3,13.0,17.3,6
20120210,shizuoka,3,,,,6,9,ì°ä™ òaëÂ,22,27,91,2,2,3.77,89.04,10,3,2,2,4,3,3,8,2,12,12.0,44.0,52.0,2
20120210,shizuoka,4,,,,1,1,ïüêX êTëæòY,12,35,84,2,2,3.77,82.58,3,6,2,2,0,0,1,3,0,20,4.1,16.6,16.6,3
20120210,shizuoka,4,,,,2,2,ésëq çFó«,13,37,77,3,3,3.75,88.86,0,0,0,1,7,1,7,2,3,11,30.4,39.1,52.1,2
20120210,shizuoka,4,,,,3,3,‚Vì° ñæ,1,44,61,3,3,3.77,89.36,0,0,0,0,4,3,4,3,3,12,18.1,31.8,45.4,4
20120210,shizuoka,4,,,,4,4,êX ã`çO,22,51,47,2,3,3.79,81.40,0,0,0,0,0,2,0,2,3,22,0.0,7.4,18.5,1
20120210,shizuoka,4,,,,4,5,êºë∫ çsãM,13,27,92,3,2,3.71,90.38,2,5,1,4,2,1,6,2,1,9,33.3,44.4,50.0,5
20120210,shizuoka,4,,,,5,6,çrà‰ ïqñæ,10,39,75,2,3,3.86,74.79,0,0,0,0,3,1,2,2,2,23,6.8,13.7,20.6,9
20120210,shizuoka,4,,,,5,7,éRå˚ êTå·,1,28,93,3,1,4.00,82.79,1,3,0,6,1,0,5,2,3,19,17.2,24.1,34.4,6
20120210,shizuoka,4,,,,6,8,ìcíÜ éûíâ,14,37,74,2,3,3.79,79.17,0,0,0,1,0,1,0,2,1,25,0.0,7.1,10.7,8
20120210,shizuoka,4,,,,6,9,êÏè„ èGñæ,15,40,67,2,3,3.71,84.29,1,0,0,0,1,1,0,2,4,12,0.0,11.1,33.3,7
20120210,shizuoka,5,,,,1,1,êõíJ ó≤éi,13,26,96,2,2,3.71,89.68,1,10,5,4,0,0,3,6,2,9,15.0,45.0,55.0,2
20120210,shizuoka,5,,,,2,2,ëä‡V åbàÍ,4,25,95,3,2,3.64,85.14,3,0,0,2,2,0,3,1,2,9,20.0,26.6,40.0,9
20120210,shizuoka,5,,,,3,3,è¨í∑à‰ ó∫àÍ,14,44,62,2,3,3.77,87.14,1,0,0,0,2,3,0,5,4,18,0.0,18.5,33.3,3
20120210,shizuoka,5,,,,4,4,Á≤å© è≤ó«,7,40,78,3,3,3.71,82.84,2,0,0,0,2,0,1,1,2,22,3.8,7.6,15.3,7
20120210,shizuoka,5,,,,4,5,èºä€ óTãI,12,31,86,3,1,3.86,84.69,1,1,0,0,3,1,2,2,5,14,8.6,17.3,39.1,5
20120210,shizuoka,5,,,,5,6,ãeín ëÂï„,9,36,85,2,2,3.71,78.11,2,0,0,0,2,0,1,1,5,19,3.8,7.6,26.9,4
20120210,shizuoka,5,,,,5,7,î—ìc à–ï∂,11,40,67,3,3,3.85,91.11,2,0,0,0,3,4,2,5,3,8,11.1,38.8,55.5,1
20120210,shizuoka,5,,,,6,8,ã‡éq çKòY,14,37,75,2,1,3.64,80.66,1,5,1,0,1,1,0,3,2,19,0.0,12.5,20.8,8
