date,place,race_num,predict,koukiai,evaluation,bracket,car_num,name,prefecture,age,period,rank,leg,gear,racing piont,S,B,Nige,Maki,Sashi,Ma,1st,2nd,3rd,Chakugai,win,2ren,3ren,result
20111205,tachikawa,1,,,,1,1,Íéì° ê¨ó«,1,44,69,3,3,3.77,89.30,0,0,0,0,4,4,3,5,3,13,12.5,33.3,45.8,7
20111205,tachikawa,1,,,,2,2,ëOìc ã`èH,9,48,52,3,3,3.71,87.77,0,0,0,0,2,5,2,5,5,11,8.6,30.4,52.1,2
20111205,tachikawa,1,,,,3,3,êÏçË íqçL,14,36,83,3,3,3.77,86.20,1,1,0,0,3,3,3,3,3,15,12.5,25.0,37.5,1
20111205,tachikawa,1,,,,4,4,ç≤ñÏ ëΩäÏíj,15,32,85,2,3,3.79,80.91,1,0,0,0,2,1,0,3,0,21,0.0,12.5,12.5,5
20111205,tachikawa,1,,,,4,5,ïƒéR èÅ,12,32,88,2,2,4.08,81.91,1,13,7,0,0,0,4,3,3,13,17.3,30.4,43.4,3
20111205,tachikawa,1,,,,5,6,è¨ñÂ ómàÍ,14,50,49,2,3,3.92,74.94,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,6
20111205,tachikawa,1,,,,5,7,âFç≤å© óTãP,7,26,94,2,2,3.69,82.52,0,8,4,0,0,0,2,2,2,12,11.1,22.2,33.3,9
20111205,tachikawa,1,,,,6,8,ç≤ì° êm,5,49,58,2,3,3.71,79.90,0,0,0,0,1,1,0,2,0,20,0.0,9.0,9.0,8
20111205,tachikawa,1,,,,6,9,éƒìc óD,8,38,73,2,3,3.77,81.16,0,1,0,2,0,0,0,2,4,18,0.0,8.3,25.0,4
20111205,tachikawa,2,,,,1,1,êAñÿ òaçL,14,31,98,2,2,3.79,87.52,4,3,0,1,6,2,5,4,1,11,23.8,42.8,47.6,4
20111205,tachikawa,2,,,,2,2,ñˆ è[,2,37,79,2,3,3.713.67,88.16,0,0,0,0,3,1,1,3,3,12,5.2,21.0,36.8,1
20111205,tachikawa,2,,,,3,3,è„ìc éOêÁïv,11,47,56,2,1,4.08,83.54,4,1,0,2,1,1,2,2,3,16,8.6,17.3,30.4,2
20111205,tachikawa,2,,,,4,4,êiì° ç_çs,12,49,57,3,3,3.86,81.08,0,0,0,0,0,1,0,1,2,9,0.0,8.3,25.0,9
20111205,tachikawa,2,,,,4,5,ïΩìc ê^é˜,10,32,86,3,3,3.71,82.68,2,0,0,0,2,1,2,1,0,18,9.5,14.2,14.2,6
20111205,tachikawa,2,,,,5,6,íÀñ{ ó@,7,35,85,2,1,3.69,75.00,1,0,0,0,0,0,0,0,0,21,0.0,0.0,0.0,8
