date,place,race_num,predict,koukiai,evaluation,bracket,car_num,name,prefecture,age,period,rank,leg,gear,racing piont,S,B,Nige,Maki,Sashi,Ma,1st,2nd,3rd,Chakugai,win,2ren,3ren,result
20111219,tamano,1,,,,1,1,éRñ{ ãêé˜,27,21,100,1,2,3.64,76.65,2,6,3,5,0,0,3,5,5,7,15.0,40.0,65.0,2
20111219,tamano,1,,,,2,2,çLê£ ãª,34,37,81,1,1,3.71,73.36,1,6,0,2,2,3,2,5,7,19,6.0,21.2,42.4,6
20111219,tamano,1,,,,3,3,è@çË ê¢òA,39,20,100,1,2,3.57,71.83,1,6,2,2,1,0,3,2,2,17,12.5,20.8,29.1,1
20111219,tamano,1,,,,4,4,â¡ì° çW,23,46,55,1,3,3.77,68.40,0,0,0,0,2,1,0,3,5,22,0.0,10.0,26.6,8
20111219,tamano,1,,,,4,5,írì‡ àÍóm,36,47,54,1,3,3.92,70.55,2,0,0,0,3,0,1,2,8,19,3.3,10.0,36.6,4
20111219,tamano,1,,,,5,6,ç◊êÏ íâçs,23,50,46,1,3,3.92,62.46,0,0,0,0,0,0,0,0,0,32,0.0,0.0,0.0,9
20111219,tamano,1,,,,5,7,â™ìc ìƒ,30,37,79,1,3,3.92,77.25,1,0,0,0,6,6,3,9,3,13,10.7,42.8,53.5,3
20111219,tamano,1,,,,6,8,ñ—óò ózàÍ,47,45,57,1,1,3.85,68.03,2,0,0,0,0,0,0,0,1,29,0.0,0.0,3.3,5
20111219,tamano,1,,,,6,9,è¨êº çNïv,33,28,94,1,2,3.79,69.63,0,4,1,2,0,1,2,2,3,15,9.0,18.1,31.8,7
20111219,tamano,2,,,,1,1,ïƒéR ç_ìÒ,23,42,70,1,3,3.86,70.03,1,1,1,0,2,0,1,2,4,24,3.2,9.6,22.5,5
20111219,tamano,2,,,,2,2,ìcíÜ å´ìÒ,43,40,70,1,1,3.71,71.46,1,2,1,1,2,2,1,5,2,20,3.5,21.4,28.5,3
20111219,tamano,2,,,,3,3,ìyà‰ çéé¿,36,42,66,1,3,3.85,69.65,1,0,0,0,2,2,1,3,3,20,3.7,14.8,25.9,9
20111219,tamano,2,,,,4,4,ç„â∫ çOîV,30,43,63,1,3,3.71,69.46,2,0,0,0,0,0,0,0,3,23,0.0,0.0,11.5,4
20111219,tamano,2,,,,4,5,ìcíÜ çGèÈ,40,25,96,1,2,3.64,76.48,0,3,0,4,7,1,9,3,3,16,29.0,38.7,48.3,2
20111219,tamano,2,,,,5,6,ê{âÍ êπï„,28,37,74,1,3,3.85,65.12,1,2,0,0,1,1,1,1,1,28,3.2,6.4,9.6,8
20111219,tamano,2,,,,5,7,ëOñÏ íqñÁ,33,40,68,1,2,3.86,72.77,0,13,6,5,0,0,8,3,5,15,25.8,35.4,51.6,1
20111219,tamano,2,,,,6,8,éOñÿ ãPñæ,36,49,52,1,3,3.86,66.48,0,1,0,1,4,0,1,4,2,20,3.7,18.5,25.9,7
20111219,tamano,2,,,,6,9,è¨êÏ ëÂín,23,21,98,1,2,3.57,76.19,2,10,5,2,0,0,4,3,2,12,19.0,33.3,42.8,6
20111219,tamano,3,,,,1,1,ã{Á≤ àÍòY,43,48,53,1,3,3.71,71.20,0,0,0,0,0,1,0,1,1,14,0.0,6.2,12.5,2
20111219,tamano,3,,,,2,2,à‰è„ íºç∆,33,46,56,1,3,3.71,68.78,0,0,0,0,1,0,0,1,2,31,0.0,2.9,8.8,7
20111219,tamano,3,,,,3,3,â|ñ{ óYàÍ,23,45,61,1,3,3.54,71.96,1,0,0,0,0,5,0,5,4,24,0.0,15.1,27.2,4
20111219,tamano,3,,,,4,4,ìnïî çWãv,38,36,79,1,3,3.79,66.80,0,0,0,0,2,0,1,1,3,25,3.3,6.6,16.6,6
20111219,tamano,3,,,,4,5,î—íÀ íºêl,41,21,98,1,2,3.57,73.40,0,3,0,6,2,1,6,3,4,17,20.0,30.0,43.3,1
20111219,tamano,3,,,,5,6,â∫ä‘ äo,27,43,62,1,3,3.57,63.65,0,0,0,0,0,0,0,0,1,31,0.0,0.0,3.1,8
20111219,tamano,3,,,,5,7,ç‚ñ{ èCàÍ,33,24,99,1,2,3.57,78.64,0,8,5,4,1,1,8,3,1,7,42.1,57.8,63.1,9
20111219,tamano,3,,,,6,8,ïΩéR ê≥ç_,47,48,52,1,3,3.71,66.03,0,0,0,0,0,0,0,0,2,25,0.0,0.0,7.4,3
20111219,tamano,3,,,,6,9,ñkêÏ ãMîV,23,25,92,1,2,3.71,68.03,1,11,3,3,0,0,3,3,1,20,11.1,22.2,25.9,5
20111219,tamano,4,,,,1,1,â™ìc å[ìn,38,20,100,1,2,3.64,75.50,2,4,0,6,1,0,4,3,4,12,17.3,30.4,47.8,7
20111219,tamano,4,,,,2,2,ãvìá èÆé˜,45,20,100,1,2,3.64,74.95,0,8,1,4,3,0,6,2,2,14,25.0,33.3,41.6,3
20111219,tamano,4,,,,3,3,àÓêœ èGé˜,16,46,55,1,3,4.00,73.39,2,1,1,0,2,4,1,6,6,20,3.0,21.2,39.3,4
20111219,tamano,4,,,,4,4,ì°å¥ óYïF,27,47,56,1,3,3.67,66.81,0,0,0,0,1,1,0,2,4,27,0.0,6.0,18.1,6
20111219,tamano,4,,,,4,5,éRìc óTéi,40,35,82,1,3,3.64,71.10,1,0,0,1,3,0,4,0,8,18,13.3,13.3,40.0,5
20111219,tamano,4,,,,5,6,ãÀñÏ òaïF,33,50,47,1,3,3.64,62.93,1,0,0,0,0,1,0,1,0,29,0.0,3.3,3.3,8
20111219,tamano,4,,,,5,7,ç°ì° çNóT,21,26,99,1,2,3.69,78.91,0,6,3,7,2,0,7,5,4,9,28.0,48.0,64.0,1
20111219,tamano,4,,,,6,8,êXà‰ è∏,43,49,52,1,3,3.71,63.75,1,0,0,0,0,0,0,0,0,33,0.0,0.0,0.0,9
20111219,tamano,4,,,,6,9,èºñ{ åíàÍ,37,42,66,1,3,3.79,76.24,1,0,0,1,5,4,4,6,6,14,13.3,33.3,53.3,2
20111219,tamano,5,,,,1,1,éRå˚ çKëæòY,42,32,99,1,2,3.71,81.44,4,15,7,13,3,0,18,5,3,3,62.0,79.3,89.6,1
20111219,tamano,5,,,,2,2,çöìﬂ óòï∂,38,50,53,1,3,3.79,71.26,0,0,0,0,2,0,1,1,4,20,3.8,7.6,23.0,6
20111219,tamano,5,,,,3,3,íÜín ñÉêl,18,22,99,1,2,3.64,71.00,1,14,1,1,0,1,1,2,7,16,3.8,11.5,38.4,9
20111219,tamano,5,,,,4,4,èHéR íºäÚ,37,29,99,1,2,3.64,69.12,2,10,6,1,1,0,4,4,2,21,12.9,25.8,32.2,8
20111219,tamano,5,,,,4,5,ó≥ñÂ çFè@,28,25,95,1,2,3.71,75.34,1,3,0,1,5,0,4,2,8,15,13.7,20.6,48.2,3
20111219,tamano,5,,,,5,6,ïÇìc òN,21,46,56,1,3,3.93,66.53,0,0,0,0,0,2,0,2,2,26,0.0,6.6,13.3,5
20111219,tamano,5,,,,5,7,ñkâY êméj,43,41,67,1,1,3.69,72.36,0,0,0,0,5,3,4,4,2,20,13.3,26.6,33.3,2
20111219,tamano,5,,,,6,8,ëÂà‰ àÍçG,16,47,54,1,3,3.71,68.58,1,0,0,0,0,1,0,1,2,21,0.0,4.1,12.5,7
20111219,tamano,5,,,,6,9,å√èÍ ñŒ,40,44,62,1,3,3.71,70.76,0,2,0,1,2,2,2,3,2,23,6.6,16.6,23.3,4
20111219,tamano,6,,,,1,1,ì°ñÏ ãMèÕ,41,23,97,2,3,3.85,89.73,1,0,0,0,4,2,1,5,6,10,4.5,27.2,54.5,4
20111219,tamano,6,,,,2,2,ëÂñÓ óEàÍ,27,41,65,3,3,3.71,86.88,0,0,0,0,8,1,6,3,3,14,23.0,34.6,46.1,1
20111219,tamano,6,,,,3,3,ç≤ñÏ èü,36,48,52,3,3,4.08,83.26,0,0,0,0,4,3,4,3,2,17,15.3,26.9,34.6,5
20111219,tamano,6,,,,4,4,ïƒìc ó≤éi,28,35,85,2,2,3.85,81.65,0,14,5,0,0,1,2,4,1,19,7.6,23.0,26.9,3
20111219,tamano,6,,,,4,5,êÏñÏ ê≥ñF,44,34,80,3,2,3.71,87.90,1,3,1,5,0,1,2,5,4,11,9.0,31.8,50.0,6
20111219,tamano,6,,,,5,6,î™ëq à…ç≤ïv,26,52,42,2,3,3.86,76.42,0,0,0,0,0,0,0,0,0,14,0.0,0.0,0.0,9
20111219,tamano,6,,,,5,7,ì°â™ àÍñÁ,43,49,49,2,3,3.85,85.90,0,0,0,0,7,2,5,4,1,12,22.7,40.9,45.4,8
20111219,tamano,6,,,,6,8,ëÂêX ê—,38,48,59,2,3,3.69,77.90,0,0,0,0,1,0,1,0,0,10,9.0,9.0,9.0,7
20111219,tamano,6,,,,6,9,â™ñ{ êVå·,30,53,42,3,3,4.08,82.03,3,0,0,1,2,1,2,2,1,22,7.4,14.8,18.5,2
