date,place,race_num,predict,koukiai,evaluation,bracket,car_num,name,prefecture,age,period,rank,leg,gear,racing piont,S,B,Nige,Maki,Sashi,Ma,1st,2nd,3rd,Chakugai,win,2ren,3ren,result
20121022,toride,1,,,,1,1,çHì° óFé˜,2,37,81,3,3,4.25,89.64,0,0,0,1,10,0,6,5,5,9,24.0,44.0,64.0,3
20121022,toride,1,,,,2,2,ëÅç‚ ìπã`,9,33,88,2,1,4.00,85.12,4,1,0,0,4,0,2,2,5,15,8.3,16.6,37.5,5
20121022,toride,1,,,,3,3,íÜìc åíìÒ,11,48,56,3,3,4.00,89.17,1,0,0,0,1,2,1,2,5,16,4.1,12.5,33.3,1
20121022,toride,1,,,,4,4,ìíêÛ çOåı,12,39,74,3,1,3.79,83.12,6,0,0,0,2,1,1,2,4,17,4.1,12.5,29.1,6
20121022,toride,1,,,,4,5,êƒì° èdñæ,13,42,71,3,2,4.17,88.20,1,15,5,4,2,0,9,2,3,10,37.5,45.8,58.3,2
20121022,toride,1,,,,5,6,ìcë∫ è~éj,22,36,79,2,1,3.71,79.04,1,2,0,1,1,0,0,2,2,18,0.0,9.0,18.1,7
20121022,toride,1,,,,5,7,ëPï˚ ê≠î¸,7,37,82,2,2,3.71,86.45,1,18,6,0,0,0,5,1,2,16,20.8,25.0,33.3,9
20121022,toride,1,,,,6,8,ê£åÀ ãMéu,15,34,79,2,1,3.64,79.58,1,1,0,1,1,1,0,3,0,21,0.0,12.5,12.5,4
20121022,toride,1,,,,6,9,ñˆ è[,2,38,79,2,3,3.67,83.36,0,0,0,0,1,1,1,1,3,7,8.3,16.6,41.6,8
20121022,toride,2,,,,1,1,ãgí| óYèÈ,22,22,99,2,2,3.92,89.74,0,17,10,1,0,0,7,4,3,13,25.9,40.7,51.8,1
20121022,toride,2,,,,2,2,ä‚ìc çKãv,11,41,67,2,1,3.77,83.06,4,1,0,3,2,3,5,3,1,20,17.2,27.5,31.0,9
20121022,toride,2,,,,3,3,‚Vì° òañÁ,7,38,78,2,1,3.92,82.70,5,0,0,0,1,3,1,3,0,20,4.1,16.6,16.6,6
20121022,toride,2,,,,4,4,åIñ{ å[éu,12,44,62,2,3,3.86,82.18,4,0,0,0,1,4,0,5,1,21,0.0,18.5,22.2,4
20121022,toride,2,,,,4,5,èºñ{ èπém,7,29,92,3,1,3.86,85.58,2,0,0,1,1,2,2,2,5,21,6.6,13.3,30.0,5
20121022,toride,2,,,,5,6,ëÎå˚ òaçG,13,41,72,2,3,3.923.85,80.72,0,0,0,1,1,0,1,1,4,19,4.0,8.0,24.0,8
20121022,toride,2,,,,5,7,ëÂçË òañÁ,2,25,92,3,1,3.79,87.23,7,2,0,3,4,1,5,3,1,12,23.8,38.0,42.8,3
