date,place,race_num,predict,koukiai,evaluation,bracket,car_num,name,prefecture,age,period,rank,leg,gear,racing piont,S,B,Nige,Maki,Sashi,Ma,1st,2nd,3rd,Chakugai,win,2ren,3ren,result
20120422,toyama,1,,,,1,1,‚Vì° èπëæ,9,25,93,1,2,3.77,74.37,7,5,2,8,6,1,12,5,6,4,44.4,62.9,85.1,1
20120422,toyama,1,,,,2,2,îíñÿ ç_ìÒ,21,34,86,1,3,3.77,68.50,1,0,0,0,3,5,2,6,4,13,8.0,32.0,48.0,3
20120422,toyama,1,,,,3,3,éìı çFçs,14,42,63,1,3,3.71,71.95,0,0,0,0,2,6,1,7,7,6,4.7,38.0,71.4,5
20120422,toyama,1,,,,4,4,ç„â∫ çOîV,30,43,63,1,3,3.71,66.04,1,0,0,0,0,0,0,0,4,19,0.0,0.0,17.3,4
20120422,toyama,1,,,,5,5,înèÍ ãv,13,47,61,1,3,4.003.71,67.76,0,0,0,0,2,1,2,1,4,14,9.5,14.2,33.3,2
20120422,toyama,1,,,,6,6,éOà‰ ïqòY,22,53,46,1,3,3.77,62.09,5,0,0,0,0,0,0,0,3,19,0.0,0.0,13.6,7
20120422,toyama,1,,,,6,7,à…ì° çIê¨,23,21,100,1,2,3.92,65.09,1,8,1,1,1,0,3,0,4,14,14.2,14.2,33.3,6
20120422,toyama,2,,,,1,1,éRíÜ çFàÍ,11,30,88,1,2,4.00,66.58,2,7,3,2,1,0,2,4,3,15,8.3,25.0,37.5,5
20120422,toyama,2,,,,2,2,ó≥ñÂ çFè@,28,25,95,1,1,3.71,70.77,2,0,0,1,6,1,4,4,4,11,17.3,34.7,52.1,2
20120422,toyama,2,,,,3,3,ñ{ã¥ òaïv,10,38,71,1,3,3.71,64.37,0,0,0,0,2,1,2,1,1,20,8.3,12.5,16.6,4
20120422,toyama,2,,,,4,4,ëOìá çGéä,7,30,87,1,1,3.71,61.42,2,1,0,0,0,1,0,1,1,19,0.0,4.7,9.5,7
20120422,toyama,2,,,,5,5,í“ñ{ íBñÓ,27,31,99,1,2,3.77,75.50,1,3,2,7,9,1,14,5,1,4,58.3,79.1,83.3,1
20120422,toyama,2,,,,6,6,ìcíÜ àÍ,19,49,49,1,3,3.64,61.25,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,6
20120422,toyama,2,,,,6,7,å√êÏ ã™,7,28,99,1,2,3.71,70.33,9,2,0,1,3,2,3,3,9,12,11.1,22.2,55.5,3
20120422,toyama,3,,,,1,1,êÏçË óTâÑ,30,43,62,1,3,3.77,67.15,1,0,0,0,2,1,0,3,6,13,0.0,13.6,40.9,6
20120422,toyama,3,,,,2,2,ç≤ÅXñÿ ãgìø,5,24,100,1,2,3.57,74.56,2,15,11,4,0,0,10,5,3,7,40.0,60.0,72.0,1
20120422,toyama,3,,,,3,3,å„ì° äw,13,44,70,1,3,3.85,70.16,0,0,0,0,2,3,0,5,3,11,0.0,26.3,42.1,4
20120422,toyama,3,,,,4,4,íÜìá ä∞îV,29,33,86,1,1,4.00,65.20,1,2,1,0,3,1,2,3,1,18,8.3,20.8,25.0,2
20120422,toyama,3,,,,5,5,ã‡ï” óYâÓ,13,30,97,1,2,3.77,70.72,1,7,2,3,2,2,4,5,5,11,16.0,36.0,56.0,3
20120422,toyama,3,,,,6,6,è¨ó— åí,10,40,72,1,3,3.57,59.69,0,0,0,0,0,0,0,0,1,22,0.0,0.0,4.3,7
20120422,toyama,3,,,,6,7,âúë∫ ñæ,4,52,48,1,3,3.77,64.87,0,0,0,0,2,3,0,5,3,16,0.0,20.8,33.3,5
20120422,toyama,4,,,,1,1,ñ{în óÀ,7,22,99,1,2,3.71,71.50,2,7,3,4,3,0,5,5,3,11,20.8,41.6,54.1,5
20120422,toyama,4,,,,2,2,ìõà‰ ózàÍ,28,33,81,1,3,3.77,70.95,1,0,0,0,4,4,2,6,7,9,8.3,33.3,62.5,2
20120422,toyama,4,,,,3,3,êºêÏ íBïv,23,50,48,1,3,3.62,68.45,2,0,0,0,1,2,1,2,3,18,4.1,12.5,25.0,6
20120422,toyama,4,,,,4,4,ãgìc ñæçO,25,41,66,1,3,3.64,66.44,0,0,0,0,0,3,0,3,4,20,0.0,11.1,25.9,3
20120422,toyama,4,,,,5,5,å¸à‰ óTãIçO,21,31,98,1,2,3.69,69.58,3,3,1,3,1,3,4,4,6,10,16.6,33.3,58.3,4
20120422,toyama,4,,,,6,6,ã{ñ{ îé,22,44,68,1,3,4.00,63.03,0,0,0,0,1,2,0,3,1,24,0.0,10.7,14.2,7
20120422,toyama,4,,,,6,7,íOîg çFóC,27,24,98,1,2,3.64,75.59,2,15,10,6,0,0,12,4,3,4,52.1,69.5,82.6,1
20120422,toyama,5,,,,1,1,óÈñÿ ñMñæ,24,45,59,1,3,3.71,70.00,0,0,0,0,2,4,0,6,7,8,0.0,28.5,61.9,2
20120422,toyama,5,,,,2,2,ñxìc íºç∆,22,38,71,1,3,3.57,66.09,2,0,0,0,1,2,1,2,6,12,4.7,14.2,42.8,5
20120422,toyama,5,,,,3,3,èºìc ëÂ,16,22,98,1,2,3.71,74.91,0,17,12,5,0,0,14,3,1,6,58.3,70.8,75.0,1
20120422,toyama,5,,,,4,4,ç‚ìå çéë•,28,35,79,1,1,3.93,67.20,0,4,2,1,0,2,0,5,5,15,0.0,20.0,40.0,3
20120422,toyama,5,,,,5,5,í“à‰ çéç∆,26,53,42,1,3,3.64,67.66,0,0,0,0,2,3,1,4,3,16,4.1,20.8,33.3,4
20120422,toyama,5,,,,6,6,çrñÿ èüê¨,23,42,63,1,3,3.92,62.19,0,0,0,0,0,0,0,0,1,20,0.0,0.0,4.7,7
