date,place,race_num,predict,koukiai,evaluation,bracket,car_num,name,prefecture,age,period,rank,leg,gear,racing piont,S,B,Nige,Maki,Sashi,Ma,1st,2nd,3rd,Chakugai,win,2ren,3ren,result
20120622,toyohashi,1,,,,1,1,ç≤ÅXñÿ óYàÍ,7,32,83,4,1,3.92,102.41,4,0,0,0,8,0,8,0,3,13,33.3,33.3,45.8,8
20120622,toyohashi,1,,,,2,2,ë‰ òaãI,11,35,83,4,3,4.08,101.36,0,0,0,0,2,3,2,3,3,17,8.0,20.0,32.0,6
20120622,toyohashi,1,,,,3,3,âzíq ìWçF,38,30,88,4,2,4.00,98.50,0,12,6,0,1,0,2,5,3,18,7.1,25.0,35.7,2
20120622,toyohashi,1,,,,4,4,ä€éR ãMèG,5,32,89,4,3,4.00,98.21,4,0,0,0,3,0,1,2,3,15,4.7,14.2,28.5,9
20120622,toyohashi,1,,,,4,5,ì‡ìc âpâÓ,13,30,91,4,3,4.00,103.14,4,0,0,1,9,0,6,4,2,9,28.5,47.6,57.1,5
20120622,toyohashi,1,,,,5,6,êXâ™ ê≥êb,39,37,75,4,3,3.92,94.34,2,0,0,0,0,1,0,1,3,23,0.0,3.7,14.8,4
20120622,toyohashi,1,,,,5,7,è¨èºçË ëÂín,7,29,99,4,2,3.85,100.60,0,9,5,4,1,0,6,4,1,12,26.0,43.4,47.8,7
20120622,toyohashi,1,,,,6,8,êŒà‰ ãB,14,38,74,4,3,3.85,96.81,0,0,0,0,1,1,1,1,3,18,4.3,8.6,21.7,1
20120622,toyohashi,1,,,,6,9,ñ‘íJ ó≥éü,37,25,91,5,1,3.79,103.48,2,1,0,0,5,0,4,1,3,20,14.2,17.8,28.5,3
20120622,toyohashi,2,,,,1,1,í|‡V ç_éi,16,31,90,4,2,3.92,101.43,0,13,7,6,0,0,8,5,4,13,26.6,43.3,56.6,2
20120622,toyohashi,2,,,,2,2,èºâi çWìT,22,37,76,5,3,4.00,100.04,1,0,0,0,2,0,2,0,2,18,9.0,9.0,18.1,6
20120622,toyohashi,2,,,,3,3,èºéR èüãv,18,37,73,5,1,3.85,97.91,3,1,0,0,3,0,3,0,4,17,12.5,12.5,29.1,5
20120622,toyohashi,2,,,,4,4,ìnÁ≤ åí,23,39,76,4,3,3.86,96.57,3,0,0,0,1,2,1,2,2,21,3.8,11.5,19.2,1
20120622,toyohashi,2,,,,4,5,òaìc åíëæòY,12,31,87,4,1,4.00,104.76,0,3,1,5,2,0,6,2,3,14,24.0,32.0,44.0,3
20120622,toyohashi,2,,,,5,6,í∑îˆ îéçK,25,32,87,4,2,4.004.15,92.56,2,5,0,1,0,0,1,0,4,20,4.0,4.0,20.0,9
20120622,toyohashi,2,,,,5,7,â¨ñÏ ìN,14,38,75,4,3,3.92,97.55,2,0,0,0,4,1,2,3,4,20,6.8,17.2,31.0,7
20120622,toyohashi,2,,,,6,8,îíà‰ àÍã@,23,42,65,4,3,3.71,93.11,3,0,0,0,1,0,1,0,2,16,5.2,5.2,15.7,4
20120622,toyohashi,2,,,,6,9,çïñÿ êΩàÍ,28,44,60,4,1,3.92,100.18,4,0,0,2,3,1,3,3,4,13,13.0,26.0,43.4,8
20120622,toyohashi,3,,,,1,1,ìnï” àÍãM,25,47,58,4,3,4.08,103.43,0,0,0,0,4,4,2,6,5,12,8.0,32.0,52.0,5
20120622,toyohashi,3,,,,2,2,ïüìc ímñÁ,14,29,88,4,2,3.85,106.34,2,1,0,3,7,0,8,2,4,12,30.7,38.4,53.8,2
20120622,toyohashi,3,,,,3,3,ìyà‰ åM,33,37,82,4,3,4.00,97.20,0,1,0,1,1,1,2,1,1,12,12.5,18.7,25.0,8
20120622,toyohashi,3,,,,4,4,êŒêÏ àÍç_,22,45,57,4,3,3.93,97.06,0,0,0,0,1,1,0,2,4,23,0.0,6.8,20.6,4
20120622,toyohashi,3,,,,4,5,éRìc ãvìø,26,24,93,4,2,3.85,103.55,1,7,3,0,1,0,1,3,0,6,10.0,40.0,40.0,1
20120622,toyohashi,3,,,,5,6,çÇìc ëÂï„,36,34,88,4,1,3.92,90.62,2,3,0,1,0,0,1,0,2,32,2.8,2.8,8.5,9
20120622,toyohashi,3,,,,5,7,írè„ çFîV,28,40,69,4,3,4.00,99.26,0,0,0,0,3,0,0,3,5,16,0.0,12.5,33.3,7
20120622,toyohashi,3,,,,6,8,ìøãg çLãI,40,35,84,4,3,3.86,92.89,1,1,0,0,0,1,0,1,5,23,0.0,3.4,20.6,6
20120622,toyohashi,3,,,,6,9,çÇã¥ ì÷éj,12,41,76,4,3,3.71,100.00,4,0,0,0,2,0,0,2,3,23,0.0,7.1,17.8,3
20120622,toyohashi,4,,,,1,1,éRâ∫ ìn,8,28,91,4,1,3.77,106.18,4,0,0,0,8,0,7,1,4,10,31.8,36.3,54.5,4
20120622,toyohashi,4,,,,2,2,êº ìO,17,34,79,5,1,3.853.92,101.86,0,4,0,4,5,0,7,2,1,20,23.3,30.0,33.3,6
20120622,toyohashi,4,,,,3,3,à‰éË åí,42,38,79,4,3,4.00,97.66,1,0,0,1,2,2,1,4,2,20,3.7,18.5,25.9,2
20120622,toyohashi,4,,,,4,4,éRìc âÎîV,21,39,72,4,3,4.23,97.23,1,0,0,0,5,1,3,3,2,14,13.6,27.2,36.3,8
20120622,toyohashi,4,,,,4,5,éRå˚ ãMék,40,33,82,5,3,3.85,102.50,0,0,0,0,3,3,3,3,3,13,13.6,27.2,40.9,3
20120622,toyohashi,4,,,,5,6,í∑íJ èrè∫,33,46,56,4,3,3.85,91.42,0,0,0,0,0,1,0,1,1,19,0.0,4.7,9.5,7
20120622,toyohashi,4,,,,5,7,óÈñÿ óYàÍòN,13,27,94,4,2,3.79,99.19,0,8,2,5,0,0,6,1,2,13,27.2,31.8,40.9,9
20120622,toyohashi,4,,,,6,8,àÍÉmê£ è†,41,24,92,4,2,3.85,95.11,0,18,5,0,0,0,1,4,0,22,3.7,18.5,18.5,1
20120622,toyohashi,4,,,,6,9,ñx ê≠î¸,8,43,65,4,3,3.79,102.63,0,0,0,0,6,1,4,3,2,15,16.6,29.1,37.5,5
20120622,toyohashi,5,,,,1,1,óÈñÿ ó«ëæ,22,35,86,4,3,4.00,105.59,2,0,0,0,6,4,6,4,1,12,26.0,43.4,47.8,1
20120622,toyohashi,5,,,,2,2,óÈñÿ êLîV,23,31,87,4,1,4.08,95.96,0,3,2,0,1,0,1,2,3,22,3.5,10.7,21.4,4
20120622,toyohashi,5,,,,3,3,îíà‰ å\àÍòY,35,43,61,4,3,3.83,101.19,3,0,0,0,1,1,1,1,5,19,3.8,7.6,26.9,7
20120622,toyohashi,5,,,,4,4,êŒéR íºç∆,36,31,85,4,1,4.08,95.60,4,0,0,0,1,1,1,1,2,12,6.2,12.5,25.0,9
20120622,toyohashi,5,,,,4,5,êXìc êi,11,46,57,4,3,4.25,104.52,0,0,0,0,4,2,3,3,4,12,13.6,27.2,45.4,3
20120622,toyohashi,5,,,,5,6,ãÓë∫ ëÂê∂,10,36,80,4,3,3.86,93.92,1,0,0,0,0,0,0,0,3,23,0.0,0.0,11.5,8
20120622,toyohashi,5,,,,5,7,ö†ë∫ óm,35,35,80,4,3,3.86,100.00,1,0,0,4,2,0,6,0,2,14,27.2,27.2,36.3,6
20120622,toyohashi,5,,,,6,8,ìcìá çÇéu,24,34,79,4,3,3.92,95.07,2,0,0,0,2,2,1,3,0,24,3.5,14.2,14.2,5
20120622,toyohashi,5,,,,6,9,â¡âÍéR è~,12,28,94,4,2,3.71,101.50,0,17,9,0,1,0,6,4,3,13,23.0,38.4,50.0,2
20120622,toyohashi,6,,,,1,1,èºà‰ âpçK,23,48,52,4,3,3.86,98.12,2,0,0,0,3,2,2,3,3,17,8.0,20.0,32.0,5
20120622,toyohashi,6,,,,2,2,ìèï˚ éüòY,2,38,73,4,3,3.92,101.32,1,0,0,0,5,0,3,2,6,14,12.0,20.0,44.0,2
20120622,toyohashi,6,,,,3,3,íÜíÀ ãLê∂,43,42,63,4,3,3.93,101.31,0,0,0,0,2,2,0,4,2,17,0.0,17.3,26.0,7
20120622,toyohashi,6,,,,4,4,ä÷åÀ ìw,4,37,82,4,3,3.85,98.00,1,0,0,0,2,1,2,1,3,18,8.3,12.5,25.0,8
20120622,toyohashi,6,,,,4,5,ëqñÏ ó≤ëæòY,23,28,91,4,2,3.92,102.81,0,13,6,3,0,1,5,5,2,15,18.5,37.0,44.4,3
20120622,toyohashi,6,,,,5,6,ìËå¥ óRè´,40,24,94,4,2,3.86,94.44,0,5,0,4,1,0,3,2,3,19,11.1,18.5,29.6,1
20120622,toyohashi,6,,,,5,7,íÜë∫ ïqîVï„,1,26,91,5,2,3.79,98.69,0,7,1,5,0,0,3,3,2,16,12.5,25.0,33.3,4
20120622,toyohashi,6,,,,6,8,ëCà‰ ä≤óY,24,40,71,4,3,3.77,94.56,0,0,0,0,3,1,2,2,4,22,6.6,13.3,26.6,6
20120622,toyohashi,6,,,,6,9,â∫ìc òaî¸,43,39,72,4,3,3.85,98.38,0,0,0,0,4,0,2,2,3,19,7.6,15.3,26.9,9
20120622,toyohashi,7,,,,1,1,óFíË óSå»,33,33,82,4,1,3.69,107.82,4,2,1,5,4,1,8,3,1,17,27.5,37.9,41.3,4
20120622,toyohashi,7,,,,2,2,ë´íB èdñû,42,36,80,4,3,4.00,100.13,1,0,0,2,2,2,2,4,4,14,8.3,25.0,41.6,7
20120622,toyohashi,7,,,,3,3,éRå˚ ë◊ê∂,21,30,89,4,3,3.92,103.25,2,0,0,0,2,2,1,3,3,16,4.3,17.3,30.4,6
20120622,toyohashi,7,,,,4,4,ç≤ì° òi,23,32,85,4,2,4.00,97.51,2,15,4,3,0,0,0,7,4,19,0.0,23.3,36.6,5
20120622,toyohashi,7,,,,4,5,àÈìc àÆ,9,22,96,4,1,3.83,98.80,2,1,0,2,3,1,3,3,2,17,12.0,24.0,32.0,3
20120622,toyohashi,7,,,,5,6,ñkêÏ íqîé,25,43,61,4,1,3.69,94.70,7,0,0,1,2,0,3,0,3,24,10.0,10.0,20.0,9
20120622,toyohashi,7,,,,5,7,ê^çË êVëæòY,9,33,85,4,3,4.00,102.31,0,0,0,0,5,2,2,5,5,17,6.8,24.1,41.3,1
20120622,toyohashi,7,,,,6,8,ê{ì° íºìπ,10,40,68,4,3,4.08,96.17,0,2,0,0,4,0,2,2,0,24,7.1,14.2,14.2,2
20120622,toyohashi,7,,,,6,9,ì°ñÏ ã`çÇ,41,48,52,5,3,4.00,100.40,1,0,0,0,4,1,2,3,2,18,8.0,20.0,28.0,8
20120622,toyohashi,8,,,,1,1,ñ© êπìÒ,36,35,86,4,1,3.85,102.76,2,1,0,2,1,0,3,0,2,13,16.6,16.6,27.7,7
20120622,toyohashi,8,,,,2,2,éRñ{ â¿ék,27,38,71,5,3,3.92,102.20,1,0,0,0,3,2,3,2,4,16,12.0,20.0,36.0,3
20120622,toyohashi,8,,,,3,3,çrñÿ êLç∆,22,33,87,4,1,3.86,108.68,10,8,1,8,2,1,5,7,5,5,22.7,54.5,77.2,2
20120622,toyohashi,8,,,,4,4,ìyâÆ êm,8,37,84,4,1,3.85,95.14,1,0,0,0,2,1,2,1,3,22,7.1,10.7,21.4,5
20120622,toyohashi,8,,,,4,5,î—îˆ éÂê≈,22,33,81,4,3,3.86,101.96,2,0,0,0,7,2,7,2,4,14,25.9,33.3,48.1,8
20120622,toyohashi,8,,,,5,6,ótéÎ êLë◊,27,38,78,4,1,4.25,93.56,1,5,0,1,0,0,0,1,2,13,0.0,6.2,18.7,1
20120622,toyohashi,8,,,,5,7,ì°å¥ ç_,39,32,87,4,3,3.92,98.00,0,0,0,0,1,0,0,1,4,21,0.0,3.8,19.2,9
20120622,toyohashi,8,,,,6,8,èdâi èCïΩ,18,38,74,4,3,3.86,94.24,1,0,0,0,3,1,1,3,1,20,4.0,16.0,20.0,6
20120622,toyohashi,8,,,,6,9,ãﬂì° èrñæ,14,33,87,5,3,4.00,98.69,3,0,0,0,2,0,1,1,4,21,3.7,7.4,22.2,4
20120622,toyohashi,9,,,,1,1,â™ìc ê™óz,13,32,85,5,1,4.00,115.27,1,4,1,3,6,3,7,6,6,10,24.1,44.8,65.5,7
20120622,toyohashi,9,,,,2,2,è¨ñÏ èrîV,44,36,77,5,3,4.00,112.70,0,0,0,0,3,4,2,5,2,22,6.4,22.5,29.0,3
20120622,toyohashi,9,,,,3,3,àÓä_ óTîV,26,34,86,5,2,4.00,113.46,1,13,4,5,1,0,4,6,8,13,12.9,32.2,58.0,1
20120622,toyohashi,9,,,,4,4,ïxâi âvê∂,23,41,66,5,3,4.08,104.93,3,0,0,0,4,5,3,6,3,18,10.0,30.0,40.0,8
20120622,toyohashi,9,,,,4,5,à¢í| íqéj,36,30,90,5,1,4.00,110.16,3,9,5,5,1,0,7,4,2,13,26.9,42.3,50.0,2
20120622,toyohashi,9,,,,5,6,êÖíJ çDçG,25,29,93,5,2,3.92,103.89,5,17,9,2,3,0,9,5,1,13,32.1,50.0,53.5,9
20120622,toyohashi,9,,,,5,7,îíåÀ è~ëæòY,14,39,74,5,3,4.00,107.85,5,0,0,1,5,1,4,3,7,13,14.8,25.9,51.8,5
20120622,toyohashi,9,,,,6,8,î—ìc íCç∆,12,39,72,5,3,3.85,104.03,5,0,0,0,5,2,4,3,3,19,13.7,24.1,34.4,6
20120622,toyohashi,9,,,,6,9,îˆçË çÑ,11,35,79,5,3,4.33,109.80,0,0,0,0,2,4,1,5,9,11,3.8,23.0,57.6,4
20120622,toyohashi,10,,,,1,1,ã‡éq ãMéu,23,36,75,5,2,4.00,110.93,1,10,7,7,2,0,13,3,1,12,44.8,55.1,58.6,1
20120622,toyohashi,10,,,,2,2,èºç‚ âpéi,14,37,82,5,3,4.00,109.62,1,0,0,0,3,2,2,3,4,16,8.0,20.0,36.0,8
20120622,toyohashi,10,,,,3,3,ê_éR ëÒñÌ,9,25,91,5,1,4.00,110.54,0,5,0,8,7,0,9,6,5,16,25.0,41.6,55.5,4
20120622,toyohashi,10,,,,4,4,í|ì‡ íqïF,4,35,84,5,3,3.92,105.06,1,0,0,0,7,4,4,7,2,18,12.9,35.4,41.9,7
20120622,toyohashi,10,,,,4,5,ñ]åé óTàÍòY,22,42,65,5,3,3.92,106.69,1,0,0,0,3,3,3,3,2,15,13.0,26.0,34.7,9
20120622,toyohashi,10,,,,5,6,ïƒ‡V ëÂï„,36,37,73,5,3,3.86,103.56,2,0,0,1,3,1,2,3,1,24,6.6,16.6,20.0,3
20120622,toyohashi,10,,,,5,7,éRå˚ ïxê∂,21,42,68,5,3,4.00,112.11,1,0,0,0,5,8,4,9,6,9,14.2,46.4,67.8,2
20120622,toyohashi,10,,,,6,8,åÀÁ≥ óTè´,8,40,72,5,3,3.92,104.00,2,0,0,0,4,2,2,4,6,17,6.8,20.6,41.3,5
20120622,toyohashi,10,,,,6,9,è¨îW ê≥ã`,12,31,88,5,2,4.17,109.76,0,6,1,4,2,0,5,2,3,16,19.2,26.9,38.4,6
20120622,toyohashi,11,,,,1,1,â¡ëq ê≥ã`,40,41,68,5,3,3.854.00,106.70,2,0,0,0,4,3,4,3,2,20,13.7,24.1,31.0,4
20120622,toyohashi,11,,,,2,2,ê[íJ ímçL,23,22,96,SS,2,3.86,117.86,1,14,7,4,0,0,9,2,3,8,40.9,50.0,63.6,1
20120622,toyohashi,11,,,,3,3,êõìc àÎìπ,4,26,91,5,2,3.85,109.10,2,9,0,6,2,0,5,3,2,11,23.8,38.0,47.6,7
20120622,toyohashi,11,,,,4,4,ê¬à‰ å´é°,36,36,81,5,3,3.92,105.69,2,0,0,0,4,3,3,4,3,17,11.1,25.9,37.0,5
20120622,toyohashi,11,,,,4,5,ìáñÏ ç_éi,23,43,62,5,3,3.79,108.13,1,0,0,0,4,3,2,5,3,12,9.0,31.8,45.4,2
20120622,toyohashi,11,,,,5,6,éƒìc ómï„,13,26,92,5,2,3.92,103.90,0,2,1,4,1,1,6,1,4,12,26.0,30.4,47.8,6
20120622,toyohashi,11,,,,5,7,êõå¥ çW,44,32,85,5,2,4.00,112.32,3,9,3,8,6,1,9,9,2,9,31.0,62.0,68.9,3
20120622,toyohashi,11,,,,6,8,ëÂíÎ ê≥ãI,16,42,70,5,3,4.00,104.03,2,0,0,1,1,4,1,5,6,19,3.2,19.3,38.7,9
20120622,toyohashi,11,,,,6,9,ñæìc ètäÏ,1,31,89,5,3,3.93,108.21,2,0,0,0,3,3,2,4,3,19,7.1,21.4,32.1,8
20120623,toyohashi,1,,,,1,1,îíà‰ å\àÍòY,35,43,61,4,3,3.83,101.19,3,0,0,0,1,1,1,1,5,19,3.8,7.6,26.9,2
20120623,toyohashi,1,,,,2,2,ç≤ì° òi,23,32,85,4,2,4.00,97.51,2,15,4,3,0,0,0,7,4,19,0.0,23.3,36.6,3
20120623,toyohashi,1,,,,3,3,ä€éR ãMèG,5,32,89,4,3,4.00,98.21,4,0,0,0,3,0,1,2,3,15,4.7,14.2,28.5,4
20120623,toyohashi,1,,,,4,4,ìnâÔ çGòa,23,44,65,4,3,4.00,94.32,1,0,0,0,1,2,1,2,2,24,3.4,10.3,17.2,9
20120623,toyohashi,1,,,,4,5,ä÷åÀ ìw,4,37,82,4,3,3.85,98.00,1,0,0,0,2,1,2,1,3,18,8.3,12.5,25.0,7
20120623,toyohashi,1,,,,5,6,ãÓë∫ ëÂê∂,10,36,80,4,3,3.86,93.92,1,0,0,0,0,0,0,0,3,23,0.0,0.0,11.5,1
