date,place,race_num,predict,koukiai,evaluation,bracket,car_num,name,prefecture,age,period,rank,leg,gear,racing piont,S,B,Nige,Maki,Sashi,Ma,1st,2nd,3rd,Chakugai,win,2ren,3ren,result
20111218,yokkaichi,1,,,,1,1,ìcíÜ çNìT,24,34,80,1,1,3.69,71.11,5,1,0,8,1,0,5,4,3,15,18.5,33.3,44.4,2
20111218,yokkaichi,1,,,,2,2,à¢ïî è[çG,35,28,98,1,2,3.85,73.04,0,5,1,1,2,2,2,4,0,15,9.5,28.5,28.5,8
20111218,yokkaichi,1,,,,3,3,ä€éR óÕ,14,42,66,1,1,3.92,71.80,6,1,0,5,1,1,4,3,5,18,13.3,23.3,40.0,3
20111218,yokkaichi,1,,,,4,4,äò ìøñ[,23,52,51,1,3,3.69,67.00,0,0,0,0,3,1,1,3,2,21,3.7,14.8,22.2,6
20111218,yokkaichi,1,,,,4,5,ï€â» êÁèt,4,20,100,1,2,3.71,79.85,4,9,5,8,2,0,11,4,1,5,52.3,71.4,76.1,1
20111218,yokkaichi,1,,,,5,6,ç‚ñ{ ê¨âõ,40,37,82,1,3,3.85,60.80,1,1,0,0,0,0,0,0,0,30,0.0,0.0,0.0,9
20111218,yokkaichi,1,,,,5,7,ïÅí√‡V óòçK,7,46,55,1,3,3.77,71.25,0,0,0,0,5,3,2,6,4,15,7.4,29.6,44.4,4
20111218,yokkaichi,1,,,,6,8,êÏìå óRçK,27,23,99,1,2,3.71,65.75,0,7,0,0,0,1,0,1,1,26,0.0,3.5,7.1,7
20111218,yokkaichi,1,,,,6,9,ì°ëq ê≥ïq,34,44,61,1,3,3.71,75.43,2,0,0,0,4,5,3,6,6,15,10.0,30.0,50.0,5
20111218,yokkaichi,2,,,,1,1,ï\å¥ é¸,36,20,100,1,2,3.64,79.20,1,0,0,5,9,0,9,5,4,6,37.5,58.3,75.0,1
20111218,yokkaichi,2,,,,2,2,ãgìc ñæçO,25,41,66,1,3,3.64,72.67,0,0,0,0,1,6,1,6,6,18,3.2,22.5,41.9,8
20111218,yokkaichi,2,,,,3,3,ç≤êÏ ëÒñÁ,7,22,99,1,2,3.57,71.40,0,5,4,5,0,0,6,3,2,18,20.6,31.0,37.9,2
20111218,yokkaichi,2,,,,4,4,ç‚ìc è∏èπ,4,38,78,1,3,3.64,67.50,0,0,0,1,0,0,0,1,3,26,0.0,3.3,13.3,4
20111218,yokkaichi,2,,,,4,5,üNà‰ ëæém,33,27,94,1,2,3.71,79.73,2,1,0,4,6,7,10,7,7,6,33.3,56.6,80.0,3
